"","X..","X.DateOccur.","X.Count.","X.Crime.","X.District.","X.Neighborhood.","X.XCoord.","X.YCoord."
"1","""1""","""1/1/2001 0:01""",1,21000,5,50,0,0
"2","""2""","""1/1/2009 0:09""",1,21000,5,51,0,0
"3","""3""","""1/1/2013 0:01""",1,179210,5,52,0,0
"4","""4""","""1/1/2014 12:00""",1,115400,6,70,886878.6,1043335
"5","""5""","""1/1/2015 0:01""",1,142320,6,66,903209.7,1033402
"6","""6""","""1/1/2015 0:01""",1,142320,4,60,903894,1025242
"7","""7""","""1/1/2015 0:01""",1,151140,6,67,900963.6,1032436
"8","""8""","""1/1/2015 0:01""",1,142320,4,61,905736.6,1022653
"9","""9""","""1/1/2015 0:01""",1,41011,4,60,904291.2,1027224
"10","""10""","""1/1/2015 0:01""",1,64701,4,37,901952.4,1020103
"11","""11""","""1/1/2015 0:01""",1,142320,6,71,893094.8,1040746
"12","""12""","""1/1/2015 0:01""",1,67601,2,39,889622.7,1017626
"13","""13""","""1/1/2015 0:01""",1,142320,4,37,895276.3,1019879
"14","""14""","""1/1/2015 0:01""",1,65701,6,55,890845.8,1034214
"15","""15""","""1/1/2015 0:01""",1,142320,5,48,883336.3,1029184
"16","""16""","""1/1/2015 0:01""",1,115400,3,30,898393.3,1006838
"17","""17""","""1/1/2015 0:01""",1,142320,6,69,894142.1,1034151
"18","""18""","""1/1/2015 0:05""",1,152200,2,15,890706.5,1004602
"19","""19""","""1/1/2015 0:10""",1,142320,3,32,900404.8,1014184
"20","""20""","""1/1/2015 0:20""",1,142320,5,38,885423.3,1025961
"21","""21""","""1/1/2015 0:23""",1,41011,5,38,893502.2,1022984
"22","""22""","""1/1/2015 0:23""",1,41011,5,38,893502.2,1022984
"23","""23""","""1/1/2015 0:23""",1,41011,5,38,893502.2,1022984
"24","""24""","""1/1/2015 0:25""",1,91113,3,30,895980.2,1006357
"25","""25""","""1/1/2015 0:25""",1,41016,3,30,895980.2,1006357
"26","""26""","""1/1/2015 0:30""",1,43015,5,38,887975.4,1020896
"27","""27""","""1/1/2015 0:30""",1,142320,2,15,891728.8,1006305
"28","""28""","""1/1/2015 0:30""",1,91114,1,17,896216.8,999453.6
