"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"1","01M015",147,28,634,625,32,8,65,13,48,7,2,0,50,7,34,25,0,0
"2","01M019",217,61,650,652,23,6,79,19,111,34,4,2,115,36,53,59,0,0
"3","01M020",331,82,662,657,11,3,109,33,190,40,21,6,211,46,63.7,56.1,0,0
"4","01M034",290,56,638,646,46,4,144,27,95,24,5,1,100,25,34.5,44.6,0,0
"5","01M063",119,30,649,641,13,3,48,16,53,10,5,1,58,11,48.7,36.7,0,0
"6","01M064",172,38,644,640,23,4,72,17,77,17,0,0,77,17,44.8,44.7,0,0
"7","01M110",362,66,662,669,13,2,112,14,209,41,28,9,237,50,65.5,75.8,0,0
"8","01M134",181,44,645,639,23,5,72,20,81,19,5,0,86,19,47.5,43.2,0,0
"9","01M137",195,50,640,631,27,7,83,29,84,14,1,0,85,14,43.6,28,0,0
"10","01M140",353,41,633,638,55,9,197,14,96,15,5,3,101,18,28.6,43.9,0,0
"11","01M142",253,59,638,630,35,7,127,39,89,13,2,0,91,13,36,22,0,0
"12","01M184",216,40,687,691,0,0,12,1,160,28,44,11,204,39,94.4,97.5,0,0
"13","01M188",250,27,634,639,34,2,153,14,61,11,2,0,63,11,25.2,40.7,0,0
"14","01M292",139,NA,627,NA,22,NA,84,NA,33,NA,0,NA,33,NA,23.7,NA,0,NA
"15","01M301",92,NA,640,NA,8,NA,50,NA,32,NA,2,NA,34,NA,37,NA,0,NA
"16","01M315",80,10,650,658,10,2,33,1,33,5,4,2,37,7,46.3,70,0,0
"17","01M332",158,NA,628,NA,22,NA,105,NA,30,NA,1,NA,31,NA,19.6,NA,0,NA
"18","01M361",130,38,662,676,15,3,28,6,71,18,16,11,87,29,66.9,76.3,0,0
"19","01M363",140,41,664,666,2,2,46,10,82,26,10,3,92,29,65.7,70.7,0,0
"20","01M364",120,39,664,672,7,0,34,13,69,20,10,6,79,26,65.8,66.7,0,0
"21","01M450",184,NA,636,NA,15,NA,110,NA,57,NA,2,NA,59,NA,32.1,NA,0,NA
"22","01M539",334,NA,709,NA,0,NA,4,NA,195,NA,135,NA,330,NA,98.8,NA,0,NA
"23","01M839",212,NA,650,NA,12,NA,85,NA,110,NA,5,NA,115,NA,54.2,NA,0,NA
"24","02M001",255,87,668,657,16,7,54,24,166,50,19,6,185,56,72.5,64.4,0,0
"25","02M002",251,85,669,674,16,4,47,12,160,49,28,20,188,69,74.9,81.2,0,0
"26","02M003",257,102,676,677,14,7,38,12,172,61,33,22,205,83,79.8,81.4,0,0
"27","02M006",416,137,693,699,11,2,27,10,272,66,106,59,378,125,90.9,91.2,0,0
"28","02M011",233,83,669,665,22,6,56,21,121,39,34,17,155,56,66.5,67.5,0,0
"29","02M033",106,49,663,653,1,1,31,18,71,29,3,1,74,30,69.8,61.2,0,0
"30","02M040",233,75,680,677,2,2,37,7,170,53,24,13,194,66,83.3,88,0,0
"31","02M041",300,102,695,699,0,0,19,8,215,55,66,39,281,94,93.7,92.2,0,0
"32","02M042",287,107,678,672,9,3,49,17,194,75,35,12,229,87,79.8,81.3,0,0
"33","02M051",112,30,666,672,3,0,26,7,78,18,5,5,83,23,74.1,76.7,0,0
"34","02M059",147,40,674,661,5,2,19,9,107,25,16,4,123,29,83.7,72.5,0,0
"35","02M077",175,58,703,708,8,2,5,3,108,22,54,31,162,53,92.6,91.4,0,0
"36","02M089",177,48,682,673,6,2,24,12,117,22,30,12,147,34,83.1,70.8,0,0
"37","02M104",1095,NA,665,NA,48,NA,314,NA,598,NA,135,NA,733,NA,66.9,NA,0,NA
"38","02M111",337,56,643,644,33,6,172,24,127,26,5,0,132,26,39.2,46.4,0,0
"39","02M114",341,NA,688,NA,0,NA,22,NA,238,NA,81,NA,319,NA,93.5,NA,0,NA
"40","02M116",349,128,691,681,5,2,44,22,212,67,88,37,300,104,86,81.3,0,0
"41","02M124",423,153,686,687,3,0,48,19,289,88,83,46,372,134,87.9,87.6,0,0
"42","02M126",429,43,659,662,19,1,149,11,232,29,29,2,261,31,60.8,72.1,0,0
"43","02M130",461,153,681,685,12,4,68,19,306,86,75,44,381,130,82.6,85,0,0
"44","02M131",604,NA,648,NA,33,NA,276,NA,279,NA,16,NA,295,NA,48.8,NA,0,NA
"45","02M150",71,25,700,694,1,1,3,1,46,14,21,9,67,23,94.4,92,0,0
"46","02M158",285,89,688,693,5,1,34,11,191,47,55,30,246,77,86.3,86.5,0,0
"47","02M167",1290,NA,664,NA,76,NA,333,NA,737,NA,144,NA,881,NA,68.3,NA,0,NA
"48","02M183",227,71,678,683,14,1,28,9,155,47,30,14,185,61,81.5,85.9,0,0
"49","02M198",195,76,652,647,19,5,70,35,103,34,3,2,106,36,54.4,47.4,0,0
"50","02M212",180,53,679,690,12,0,26,8,113,24,29,21,142,45,78.9,84.9,0,0
"51","02M217",245,44,652,665,24,3,83,10,123,25,15,6,138,31,56.3,70.5,0,0
"52","02M225",142,21,649,652,10,1,66,9,61,9,5,2,66,11,46.5,52.4,0,0
"53","02M234",302,96,691,694,1,0,22,6,217,60,62,30,279,90,92.4,93.8,0,0
"54","02M255",327,NA,680,NA,7,NA,36,NA,224,NA,60,NA,284,NA,86.9,NA,0,NA
"55","02M260",230,NA,669,NA,8,NA,63,NA,123,NA,36,NA,159,NA,69.1,NA,0,NA
"56","02M289",290,NA,680,NA,8,NA,28,NA,201,NA,53,NA,254,NA,87.6,NA,0,NA
"57","02M290",317,108,692,683,0,0,30,14,225,71,62,23,287,94,90.5,87,0,0
"58","02M312",564,NA,695,NA,3,NA,37,NA,339,NA,185,NA,524,NA,92.9,NA,0,NA
"59","02M347",55,16,611,604,20,5,26,9,9,2,0,0,9,2,16.4,12.5,0,0
"60","02M407",160,NA,665,NA,9,NA,34,NA,99,NA,18,NA,117,NA,73.1,NA,0,NA
"61","02M408",77,NA,677,NA,0,NA,12,NA,54,NA,11,NA,65,NA,84.4,NA,0,NA
"62","02M413",282,NA,663,NA,0,NA,98,NA,165,NA,19,NA,184,NA,65.2,NA,0,NA
"63","02M442",145,41,662,661,2,1,34,12,102,25,7,3,109,28,75.2,68.3,0,0
"64","02M655",105,NA,646,NA,5,NA,51,NA,47,NA,2,NA,49,NA,46.7,NA,0,NA
