"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"1","01M015","P.S. 015 ROBERTO CLEMENTE",56,24,283,281,28,14,25,9,3,1,0,0,3,1,5.4,4.2,-28.6,-20.8
"2","01M019","P.S. 019 ASHER LEVY",89,29,308,316,19,4,36,13,28,9,6,3,34,12,38.2,41.4,-14.8,-17.6
"3","01M020","P.S. 020 ANNA SILVER",240,58,293,298,87,18,91,21,50,15,12,4,62,19,25.8,32.8,-37.9,-23.3
"4","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",247,35,296,294,70,14,109,13,58,4,10,4,68,8,27.5,22.9,-7,-21.7
"5","01M063","THE STAR ACADEMY - P.S.63",50,20,293,295,21,7,15,9,13,4,1,0,14,4,28,20,-20.7,-16.7
"6","01M064","P.S. 064 ROBERT SIMON",117,37,291,285,46,19,55,16,16,2,0,0,16,2,13.7,5.4,-31.1,-39.3
"7","01M110","P.S. 110 FLORENCE NIGHTINGALE",167,54,308,312,48,16,44,12,44,15,31,11,75,26,44.9,48.1,-20.6,-27.7
"8","01M134","P.S. 134 HENRIETTA SZOLD",117,39,288,297,46,14,51,19,18,5,2,1,20,6,17.1,15.4,-30.4,-27.8
"9","01M137","P.S. 137 JOHN L. BERNSTEIN",84,23,274,286,47,12,25,6,11,4,1,1,12,5,14.3,21.7,-29.3,-6.3
"10","01M140","P.S. 140 NATHAN STRAUS",236,25,284,283,112,13,91,11,29,0,4,1,33,1,14,4,-14.6,-39.9
"11","01M142","P.S. 142 AMALIA CASTRO",163,56,284,284,78,27,68,24,17,5,0,0,17,5,10.4,8.9,-25.6,-13.1
"12","01M184","P.S. 184M SHUANG WEN",359,74,327,333,27,3,87,19,136,23,109,29,245,52,68.2,70.3,-26.2,-27.2
"13","01M188","P.S. 188 THE ISLAND SCHOOL",300,48,280,278,168,26,102,17,27,5,3,0,30,5,10,10.4,-15.2,-30.3
"14","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",36,NA,268,NA,21,NA,14,NA,1,NA,0,NA,1,NA,2.8,NA,-20.9,NA
"15","01M301","TECHNOLOGY  ARTS  AND SCIENCES STUDIO",136,NA,286,NA,54,NA,68,NA,12,NA,2,NA,14,NA,10.3,NA,-26.7,NA
"16","01M315","THE EAST VILLAGE COMMUNITY SCHOOL",78,26,314,317,17,5,22,5,28,11,11,5,39,16,50,61.5,3.7,-8.5
"17","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",74,NA,281,NA,33,NA,27,NA,12,NA,2,NA,14,NA,18.9,NA,-0.7,NA
"18","01M345","COLLABORATIVE ACADEMY OF SCIENCE  TECHNOLOGY  & LANGUAGE-ARTS EDUCATION",114,NA,286,NA,48,NA,39,NA,21,NA,6,NA,27,NA,23.7,NA,NA,NA
"19","01M361","THE CHILDREN'S WORKSHOP SCHOOL",89,32,315,312,17,7,31,12,22,6,19,7,41,13,46.1,40.6,-20.8,-35.7
"20","01M363","NEIGHBORHOOD SCHOOL",41,16,303,303,12,6,18,4,9,6,2,0,11,6,26.8,37.5,-38.9,-33.2
"21","01M364","EARTH SCHOOL",42,9,320,320,6,1,13,3,16,4,7,1,23,5,54.8,55.6,-11,-11.1
"22","01M378","SCHOOL FOR GLOBAL LEADERS",203,NA,288,NA,86,NA,81,NA,30,NA,6,NA,36,NA,17.7,NA,NA,NA
"23","01M450","EAST SIDE COMMUNITY SCHOOL",214,NA,310,NA,31,NA,94,NA,61,NA,28,NA,89,NA,41.6,NA,9.5,NA
"24","01M539","NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH HIGH SCHOOL",745,130,351,349,1,0,47,8,215,39,482,83,697,122,93.6,93.8,-5.2,NA
"25","01M839","TOMPKINS SQUARE MIDDLE SCHOOL",274,NA,313,NA,37,NA,103,NA,101,NA,33,NA,134,NA,48.9,NA,-5.3,NA
"26","02M001","P.S. 001 ALFRED E. SMITH",202,63,301,299,54,18,81,22,50,16,17,7,67,23,33.2,36.5,-39.3,-27.9
"27","02M002","P.S. 002 MEYER LONDON",340,113,308,305,65,25,128,50,124,29,23,9,147,38,43.2,33.6,-31.7,-47.6
"28","02M003","P.S. 003 CHARRETTE SCHOOL",357,99,323,320,33,8,101,40,158,36,65,15,223,51,62.5,51.5,-17.3,-29.9
"29","02M006","P.S. 006 LILLIE D. BLAKE",330,89,335,337,8,0,73,21,146,33,103,35,249,68,75.5,76.4,-15.4,-14.8
"30","02M011","P.S. 011 WILLIAM T. HARRIS",372,98,322,323,53,14,107,27,106,25,106,32,212,57,57,58.2,-9.5,-9.3
"31","02M033","P.S. 033 CHELSEA PREP",276,68,320,311,42,19,79,15,95,19,60,15,155,34,56.2,50,-13.6,-11.2
"32","02M040","P.S. 040 AUGUSTUS SAINT-GAUDENS",275,88,334,333,8,2,64,22,102,28,101,36,203,64,73.8,72.7,-9.5,-15.3
"33","02M041","P.S. 041 GREENWICH VILLAGE",365,134,335,328,18,11,61,23,160,61,126,39,286,100,78.4,74.6,-15.3,-17.6
"34","02M042","P.S. 042 BENJAMIN ALTMAN",370,115,317,321,55,13,134,47,112,25,69,30,181,55,48.9,47.8,-30.9,-33.5
"35","02M051","P.S. 051 ELIAS HOWE",146,45,300,304,51,11,48,21,34,8,13,5,47,13,32.2,28.9,-41.9,-47.8
"36","02M059","P.S. 059 BEEKMAN HILL INTERNATIONAL",284,97,328,328,21,10,72,18,115,41,76,28,191,69,67.3,71.1,-16.4,-1.4
"37","02M077","P.S. 77 LOWER LAB SCHOOL",175,60,350,349,2,1,14,6,56,11,103,42,159,53,90.9,88.3,-1.7,-3.1
"38","02M089","P.S. 89",153,42,329,334,0,0,47,13,77,14,29,15,106,29,69.3,69,-13.8,-1.8
"39","02M104","J.H.S. 104 SIMON BARUCH",1018,NA,317,NA,124,NA,337,NA,338,NA,219,NA,557,NA,54.7,NA,-12.2,NA
"40","02M111","P.S. 111 ADOLPH S. OCHS",244,46,293,294,81,16,117,18,39,10,7,2,46,12,18.9,26.1,-20.3,-20.3
"41","02M114","EAST SIDE MIDDLE SCHOOL",443,NA,340,NA,8,NA,43,NA,175,NA,217,NA,392,NA,88.5,NA,-5,NA
"42","02M116","P.S. 116 MARY LINDLEY MURRAY",312,99,320,319,41,17,88,26,114,29,69,27,183,56,58.7,56.6,-27.3,-24.7
"43","02M124","P.S. 124 YUNG WING",415,138,324,325,39,10,138,47,145,44,93,37,238,81,57.3,58.7,-30.6,-28.9
"44","02M126","P.S. 126 JACOB AUGUST RIIS",502,67,314,308,89,16,153,22,176,21,84,8,260,29,51.8,43.3,-9,-28.8
"45","02M130","P.S. 130 HERNANDO DE SOTO",437,134,324,324,47,13,122,38,173,49,95,34,268,83,61.3,61.9,-21.3,-23.1
"46","02M131","M.S. 131",362,NA,290,NA,136,NA,122,NA,72,NA,32,NA,104,NA,28.7,NA,-20.1,NA
"47","02M150","P.S. 150",80,25,336,334,6,2,11,3,33,12,30,8,63,20,78.8,80,-15.6,-12
"48","02M151","YORKVILLE COMMUNITY SCHOOL",274,82,312,310,58,21,92,26,83,17,41,18,124,35,45.3,42.7,NA,NA
"49","02M158","P.S. 158 BAYARD TAYLOR",285,94,337,334,13,7,47,16,106,29,119,42,225,71,78.9,75.5,-7.4,-11
"50","02M167","J.H.S. 167 ROBERT F. WAGNER",1258,NA,319,NA,142,NA,379,NA,463,NA,274,NA,737,NA,58.6,NA,-9.7,NA
"51","02M177","YORKVILLE EAST MIDDLE SCHOOL",54,NA,319,NA,2,NA,27,NA,11,NA,14,NA,25,NA,46.3,NA,NA,NA
"52","02M183","P.S. 183 ROBERT L. STEVENSON",273,93,329,327,30,11,53,22,104,30,86,30,190,60,69.6,64.5,-11.9,-21.4
"53","02M198","P.S. 198 ISADOR E. IDA STRAUS",207,47,306,288,55,19,67,21,52,6,33,1,85,7,41.1,14.9,-13.3,-32.5
"54","02M212","P.S. 212 MIDTOWN WEST",165,52,324,328,14,1,50,15,51,20,50,16,101,36,61.2,69.2,-17.7,-15.7
"55","02M217","P.S./I.S. 217 ROOSEVELT ISLAND",204,35,313,317,40,5,65,9,63,13,36,8,99,21,48.5,60,-7.8,-10.5
"56","02M225","ELLA BAKER SCHOOL",90,14,313,314,6,2,46,7,30,3,8,2,38,5,42.2,35.7,-4.3,-16.7
"57","02M234","P.S. 234 INDEPENDENCE SCHOOL",338,112,328,327,22,7,78,22,152,54,86,29,238,83,70.4,74.1,-22,-19.7
"58","02M255","M.S. 255 SALK SCHOOL OF SCIENCE",362,NA,343,NA,11,NA,21,NA,129,NA,201,NA,330,NA,91.2,NA,4.3,NA
"59","02M260","M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS",261,NA,329,NA,8,NA,51,NA,125,NA,77,NA,202,NA,77.4,NA,8.3,NA
"60","02M267","EAST SIDE ELEMENTARY SCHOOL  PS 267",74,NA,326,NA,4,NA,25,NA,35,NA,10,NA,45,NA,60.8,NA,NA,NA
"61","02M276","BATTERY PARK CITY SCHOOL",523,86,323,328,53,7,146,21,203,30,121,28,324,58,62,67.4,NA,NA
"62","02M289","I.S. 289",281,NA,321,NA,15,NA,83,NA,124,NA,59,NA,183,NA,65.1,NA,-22.5,NA
