"","DBN","School","Year","Total4","TotalGrad4","AllRegents4","AdvRegents4","Local4","StillEnroll4","DropOut4"
"1","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2006,52,33,19,8,14,16,1
"2","01M450","EAST SIDE COMMUNITY SCHOOL",2006,72,45,45,0,0,18,7
"3","01M509","MARTA VALLE HIGH SCHOOL",2006,55,22,11,4,11,18,11
"4","01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",2006,172,77,53,0,24,67,28
"5","01M539","NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH HIG",2006,7,NA,NA,NA,NA,NA,NA
"6","01M650","CASCADES HIGH SCHOOL",2006,92,22,6,0,16,62,8
"7","01M696","BARD HIGH SCHOOL EARLY COLLEGE",2006,110,104,103,0,1,6,0
"8","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SC",2006,18,NA,NA,NA,NA,NA,NA
"9","02M288","FOOD AND FINANCE HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"10","02M294","ESSEX STREET ACADEMY",2006,1,NA,NA,NA,NA,NA,NA
"11","02M298","PACE HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"12","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION  THE",2006,2,NA,NA,NA,NA,NA,NA
"13","02M313","JAMES BALDWIN SCHOOL  THE: A SCHOOL FOR EXPEDITIONARY",2006,4,NA,NA,NA,NA,NA,NA
"14","02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN",2006,1,NA,NA,NA,NA,NA,NA
"15","02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",2006,372,276,222,80,54,61,31
"16","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",2006,53,44,0,0,44,8,1
"17","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",2006,96,87,71,13,16,7,2
"18","02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",2006,101,98,90,45,8,1,1
"19","02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",2006,102,101,97,64,4,0,0
"20","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",2006,73,56,56,0,0,14,3
"21","02M414","N.Y.C. MUSEUM SCHOOL",2006,56,43,39,10,4,9,3
"22","02M416","ELEANOR ROOSEVELT HIGH SCHOOL",2006,101,98,97,0,1,2,1
"23","02M418","MILLENNIUM HIGH SCHOOL",2006,91,82,68,0,14,8,1
"24","02M419","LANDMARK HIGH SCHOOL",2006,95,58,0,0,58,22,15
"25","02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",2006,307,251,194,55,57,28,22
"26","02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",2006,121,84,47,19,37,8,19
"27","02M429","LEGACY SCHOOL FOR INTEGRATED STUDIES",2006,75,25,0,0,27,27,21
"28","02M439","MANHATTAN VILLAGE ACADEMY",2006,80,60,47,0,13,15,1
"29","02M440","BAYARD RUSTIN EDUCATIONAL COMPLEX",2006,510,210,102,34,108,195,88
"30","02M445","SEWARD PARK HIGH SCHOOL",2006,201,117,45,0,74,12,62
"31","02M449","VANGUARD HIGH SCHOOL",2006,39,26,0,0,26,5,7
"32","02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL",2006,55,33,0,0,33,17,4
"33","02M460","WASHINGTON IRVING HIGH SCHOOL",2006,633,288,124,4,164,183,140
"34","02M475","STUYVESANT HIGH SCHOOL",2006,779,748,748,738,0,23,4
"35","02M489","HIGH SCHOOL OF ECONOMICS AND FINANCE",2006,148,122,92,27,30,12,13
"36","02M500","UNITY CENTER FOR URBAN TECHNOLOGIES",2006,47,15,15,0,0,12,17
"37","02M519","TALENT UNLIMITED HIGH SCHOOL",2006,80,67,60,15,7,8,5
"38","02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",2006,535,352,287,79,65,100,73
"39","02M529","JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",2006,144,105,66,6,39,26,8
"40","02M531","REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",2006,45,31,17,0,14,4,10
"41","02M535","PARK WEST HIGH SCHOOL",2006,339,162,51,0,114,22,129
"42","02M542","MANHATTAN BRIDGES HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"43","02M543","NEW DESIGN HIGH SCHOOL",2006,3,NA,NA,NA,NA,NA,NA
"44","02M544","INDEPENDENCE HIGH SCHOOL",2006,215,28,4,0,24,173,14
"45","02M550","LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",2006,103,56,36,7,20,14,33
"46","02M551","NEW YORK HARBOR SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"47","02M560","HIGH SCHOOL M560 - CITY AS SCHOOL",2006,307,81,1,0,80,226,0
"48","02M565","URBAN ACADEMY LABORATORY HIGH SCHOOL",2006,38,11,0,0,11,25,2
"49","02M570","SATELLITE ACADEMY HIGH SCHOOL",2006,284,41,0,0,41,203,40
"50","02M575","MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",2006,460,165,117,13,49,226,69
"51","02M580","RICHARD R. GREEN HIGH SCHOOL OF TEACHING",2006,176,102,54,1,48,54,15
"52","02M586","HARVEY MILK HIGH SCHOOL",2006,28,9,3,0,6,15,4
"53","02M600","THE HIGH SCHOOL OF FASHION INDUSTRIES",2006,383,298,193,14,105,50,25
"54","02M605","HUMANITIES PREPARATORY ACADEMY",2006,44,23,3,0,20,10,11
"55","02M615","CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",2006,205,90,47,0,44,62,41
"56","02M620","NORMAN THOMAS HIGH SCHOOL",2006,578,249,103,12,146,163,143
"57","02M625","HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS",2006,417,145,83,5,62,114,138
"58","02M630","ART AND DESIGN HIGH SCHOOL",2006,245,156,94,18,62,69,8
"59","02M655","LIFE SCIENCES SECONDARY SCHOOL",2006,136,104,51,8,53,21,7
"60","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,31,14,9,0,5,6,10
"61","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"62","03M415","WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL",2006,123,81,64,2,17,18,15
"63","03M470","LOUIS D BRANDEIS HIGH SCHOOL",2006,496,216,144,27,72,170,104
"64","03M479","BEACON HIGH SCHOOL",2006,230,200,160,0,40,18,7
"65","03M485","FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND P",2006,563,530,524,230,6,27,1
"66","03M490","MARTIN LUTHER KING JR. ACADEMY",2006,1,NA,NA,NA,NA,NA,NA
"67","03M492","HIGH SCHOOL FOR LAW  ADVOCACY AND COMMUNITY JUSTICE",2006,111,67,36,0,31,27,17
"68","03M494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",2006,165,108,72,1,36,45,9
"69","03M505","EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL",2006,266,32,3,0,29,197,30
"70","03M860","FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL",2006,2,NA,NA,NA,NA,NA,NA
"71","04M409","COALITION SCHOOL FOR SOCIAL CHANGE",2006,86,46,22,0,24,19,21
"72","04M435","MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS",2006,431,320,305,227,15,74,27
"73","04M495","PARK EAST HIGH SCHOOL",2006,71,45,16,3,29,14,12
"74","04M555","CENTRAL PARK EAST HIGH SCHOOL",2006,64,24,0,0,24,22,17
"75","04M610","YOUNG WOMEN'S LEADERSHIP SCHOOL",2006,54,54,42,9,12,0,0
"76","04M635","ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL",2006,41,28,13,1,15,7,5
"77","04M680","HERITAGE SCHOOL  THE",2006,72,51,39,11,12,13,7
"78","04M695","URBAN PEACE ACADEMY",2006,74,30,17,0,13,28,14
"79","05M285","HARLEM RENAISSANCE HIGH SCHOOL",2006,48,1,0,0,1,36,11
"80","05M304","MOTT HALL HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"81","05M469","CHOIR ACADEMY OF HARLEM",2006,46,35,6,0,29,11,0
"82","05M499","FREDERICK DOUGLASS ACADEMY",2006,171,135,110,44,25,19,6
"83","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHAN",2006,54,44,17,0,27,8,2
"84","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",2006,73,37,27,0,10,23,12
"85","05M692","HIGH SCHOOL FOR MATHEMATICS  SCIENCE AND ENGINEERING A",2006,85,1,1,1,0,1,1
"86","06M462","THE COLLEGE ACADEMY",2006,49,20,13,0,7,19,6
"87","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",2006,116,70,50,0,20,30,11
"88","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",2006,136,88,42,4,46,37,11
"89","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",2006,106,60,32,2,28,27,16
"90","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",2006,290,177,140,31,37,67,37
"91","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATI",2006,76,38,14,1,24,24,12
"92","07X149","ELIJAH D. CLARK SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"93","07X184","RAFAEL CORDERO Y MOLINA SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"94","07X321","CROTONA ACADEMY HIGH SCHOOL",2006,54,4,2,0,2,33,17
"95","07X379","JILL CHAIFETZ TRANSFER HIGH SCHOOL",2006,2,NA,NA,NA,NA,NA,NA
"96","07X427","COMMUNITY SCHOOL FOR SOCIAL JUSTICE",2006,64,35,0,0,35,27,1
"97","07X470","SOUTH BRONX HIGH SCHOOL",2006,8,NA,NA,NA,NA,NA,NA
"98","07X473","MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL",2006,72,54,14,0,40,12,2
"99","07X495","UNIVERSITY HEIGHTS SECONDARY SCHOOL",2006,68,46,7,0,39,8,14
"100","07X500","HOSTOS-LINCOLN ACADEMY OF SCIENCE",2006,88,71,54,23,17,16,1
"101","07X520","FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES",2006,66,52,38,9,14,7,6
"102","07X527","BRONX LEADERSHIP ACADEMY II HIGH SCHOOL",2006,52,0,0,0,0,51,0
"103","07X547","NEW EXPLORERS HIGH SCHOOL",2006,77,53,14,0,39,8,6
"104","07X548","URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS",2006,81,57,34,4,23,10,1
"105","07X551","THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS",2006,1,NA,NA,NA,NA,NA,NA
"106","07X600","ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SC",2006,239,111,47,7,64,54,70
"107","07X655","SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCH",2006,261,131,101,3,30,50,57
"108","07X670","HEALTH OPPORTUNITIES HIGH SCHOOL",2006,122,84,50,6,34,27,7
"109","08X293","RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLO",2006,2,NA,NA,NA,NA,NA,NA
"110","08X295","GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLO",2006,1,NA,NA,NA,NA,NA,NA
"111","08X305","PABLO NERUDA ACADEMY",2006,3,NA,NA,NA,NA,NA,NA
"112","08X312","MILLENNIUM ART ACADEMY",2006,1,NA,NA,NA,NA,NA,NA
"113","08X377","BRONX COMMUNITY HIGH SCHOOL",2006,1,NA,NA,NA,NA,NA,NA
"114","08X405","HERBERT H. LEHMAN HIGH SCHOOL",2006,910,429,282,76,147,337,115
"115","08X450","ADLAI E. STEVENSON HIGH SCHOOL",2006,623,185,93,0,92,266,132
"116","08X452","BRONX GUILD",2006,80,44,0,0,44,30,1
"117","08X519","FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC",2006,1,NA,NA,NA,NA,NA,NA
"118","08X530","BANANA KELLY HIGH SCHOOL",2006,37,23,10,0,13,8,1
