"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"1","01M015","P.S. 015 ROBERTO CLEMENTE",58,24,278,275,34,16,17,6,6,2,1,0,7,2,12.1,8.3,-28.4,-24
"2","01M019","P.S. 019 ASHER LEVY",90,30,318,326,13,3,29,12,28,8,20,7,48,15,53.3,50,-7.8,3.1
"3","01M020","P.S. 020 ANNA SILVER",243,59,293,287,100,32,58,10,50,13,35,4,85,17,35,28.8,-43.2,-45.2
"4","01M034","P.S. 034 FRANKLIN D. ROOSEVELT",254,35,295,295,97,17,97,11,45,5,15,2,60,7,23.6,20,-16.5,-24.6
"5","01M063","THE STAR ACADEMY - P.S.63",50,20,300,303,15,6,19,7,12,6,4,1,16,7,32,35,-37.4,-24.4
"6","01M064","P.S. 064 ROBERT SIMON",119,38,296,287,41,22,47,11,21,4,10,1,31,5,26.1,13.2,-31.3,-59.8
"7","01M110","P.S. 110 FLORENCE NIGHTINGALE",167,53,325,330,25,9,37,10,40,10,65,24,105,34,62.9,64.2,-13.4,-19.1
"8","01M134","P.S. 134 HENRIETTA SZOLD",118,39,303,313,36,7,36,13,29,17,17,2,46,19,39,48.7,-20.6,-6.9
"9","01M137","P.S. 137 JOHN L. BERNSTEIN",85,23,282,295,53,15,18,3,11,3,3,2,14,5,16.5,21.7,-30.7,0.9
"10","01M140","P.S. 140 NATHAN STRAUS",243,25,288,306,103,4,105,14,29,6,6,1,35,7,14.4,28,-21.9,-23.2
"11","01M142","P.S. 142 AMALIA CASTRO",165,56,285,293,78,25,53,18,28,10,6,3,34,13,20.6,23.2,-34.5,-6.3
"12","01M184","P.S. 184M SHUANG WEN",365,76,344,353,12,2,38,3,122,30,193,41,315,71,86.3,93.4,-12.5,-6.6
"13","01M188","P.S. 188 THE ISLAND SCHOOL",306,49,290,287,125,25,124,12,47,10,10,2,57,12,18.6,24.5,-10.4,-3.6
"14","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",37,NA,257,NA,31,NA,5,NA,1,NA,0,NA,1,NA,2.7,NA,-26.1,NA
"15","01M301","TECHNOLOGY  ARTS  AND SCIENCES STUDIO",136,NA,273,NA,96,NA,33,NA,6,NA,1,NA,7,NA,5.1,NA,-30.8,NA
"16","01M315","THE EAST VILLAGE COMMUNITY SCHOOL",78,26,323,336,11,4,16,4,27,5,24,13,51,18,65.4,69.2,16.5,35.9
"17","01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",82,NA,277,NA,50,NA,21,NA,8,NA,3,NA,11,NA,13.4,NA,-13,NA
"18","01M345","COLLABORATIVE ACADEMY OF SCIENCE  TECHNOLOGY  & LANGUAGE-ARTS EDUCATION",115,NA,284,NA,61,NA,36,NA,11,NA,7,NA,18,NA,15.7,NA,NA,NA
"19","01M361","THE CHILDREN'S WORKSHOP SCHOOL",89,32,314,317,18,9,23,7,29,10,19,6,48,16,53.9,50,-14.9,-19
"20","01M363","NEIGHBORHOOD SCHOOL",37,15,305,295,6,5,17,7,11,3,3,0,14,3,37.8,20,-30.3,-37.1
"21","01M364","EARTH SCHOOL",42,9,318,319,4,1,15,3,10,3,13,2,23,5,54.8,55.6,-13.8,-18.1
"22","01M378","SCHOOL FOR GLOBAL LEADERS",206,NA,299,NA,77,NA,84,NA,27,NA,18,NA,45,NA,21.8,NA,NA,NA
"23","01M450","EAST SIDE COMMUNITY SCHOOL",209,NA,316,NA,22,NA,89,NA,68,NA,30,NA,98,NA,46.9,NA,12.5,NA
"24","01M539","NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH HIGH SCHOOL",586,130,365,371,1,0,20,1,91,18,474,111,565,129,96.4,99.2,-3.6,NA
"25","01M839","TOMPKINS SQUARE MIDDLE SCHOOL",252,NA,316,NA,39,NA,95,NA,79,NA,39,NA,118,NA,46.8,NA,-14,NA
"26","02M001","P.S. 001 ALFRED E. SMITH",204,64,321,323,35,11,39,11,64,20,66,22,130,42,63.7,65.6,-18,-6.8
"27","02M002","P.S. 002 MEYER LONDON",352,117,324,333,42,11,70,17,130,42,110,47,240,89,68.2,76.1,-16.2,-6.3
"28","02M003","P.S. 003 CHARRETTE SCHOOL",354,99,331,329,17,6,72,25,143,39,122,29,265,68,74.9,68.7,-9.7,-9.7
"29","02M006","P.S. 006 LILLIE D. BLAKE",333,90,344,348,2,1,46,9,96,28,189,52,285,80,85.6,88.9,-6.7,-3.2
"30","02M011","P.S. 011 WILLIAM T. HARRIS",374,98,330,337,48,12,76,17,102,27,148,42,250,69,66.8,70.4,-10.6,-6.6
"31","02M033","P.S. 033 CHELSEA PREP",276,68,335,329,27,14,55,15,68,11,126,28,194,39,70.3,57.4,-10.7,-16.2
"32","02M040","P.S. 040 AUGUSTUS SAINT-GAUDENS",276,89,341,343,10,3,43,16,83,31,140,39,223,70,80.8,78.7,-10.9,-7.2
"33","02M041","P.S. 041 GREENWICH VILLAGE",365,134,344,343,6,4,41,12,119,56,199,62,318,118,87.1,88.1,-7.1,-2.2
"34","02M042","P.S. 042 BENJAMIN ALTMAN",381,117,339,354,25,6,56,10,119,42,181,59,300,101,78.7,86.3,-13.9,-5
