"","SchNum","EngAc","EngRe","EngBB","EngBa","EngPr","EngAd","EngMS","MatAc","MatRe","MatBB","MatBa","MatPr","MatAd","MatMS","SciAc","SciRe","SciBB","SciBa","SciPr","SciAd","SciMS"
"1",1015,0,0,0,0,0,0,7171.2,0,0,0,0,0,0,7107.3,0,0,0,0,0,0,645.8
"2",1570,304,304,0,28,139,121,7877.4,250,250,20,80,73,70,7763.7,89,89,0,12,52,24,723.8
"3",2080,414,414,238,113,45,0,7365.7,411,411,341,53,0,0,7242,184,184,133,44,0,0,648.4
"4",3050,338,338,74,106,127,22,7599.2,308,308,163,103,12,10,7428.9,119,119,30,54,27,0,685.8
"5",3070,529,529,229,173,111,0,7460.7,524,524,362,120,20,0,7348.1,189,189,93,75,19,0,665.5
"6",3140,435,409,240,89,68,10,7387.1,434,434,338,74,0,0,7247.5,165,165,119,34,0,0,645.6
"7",3230,551,551,227,177,122,12,7479,536,536,358,137,28,0,7350.2,193,193,111,57,19,0,662.9
"8",3240,304,300,200,67,22,0,7325,304,302,246,42,0,0,7246.2,120,119,81,32,0,0,653
"9",3250,249,249,137,74,32,0,7401.8,249,249,171,54,13,0,7330.2,74,74,48,24,0,0,657.4
"10",3260,261,239,106,63,59,0,9851.9,260,260,179,57,10,0,9717.1,91,91,53,25,12,0,1203.1
"11",3390,492,492,145,154,156,37,7555.2,463,463,268,150,38,0,7416.3,175,175,53,75,39,0,681.3
"12",3400,0,0,0,0,0,0,7124.5,0,0,0,0,0,0,7197.5,0,0,0,0,0,0,571
"13",4000,149,149,99,11,0,0,9562.2,149,149,95,37,0,0,9592.2,40,40,21,16,0,0,621
"14",4060,158,158,101,0,12,0,9586.8,156,156,107,35,0,0,9562,37,37,15,18,0,0,632.2
"15",4180,74,74,39,0,0,0,7181.1,74,74,43,21,0,0,7181.2,23,23,0,13,0,0,639.9
"16",4200,132,132,55,15,24,0,7287.2,133,133,42,37,33,0,7338.3,28,28,12,10,0,0,642
"17",4250,172,172,74,54,24,10,7264.9,172,172,67,66,23,0,7290.7,54,54,20,28,0,0,635.5
"18",4360,73,73,43,0,0,0,7185.8,73,73,49,11,0,0,7139.6,26,26,11,12,0,0,627.6
"19",4400,212,212,83,45,15,0,14734.5,212,212,137,36,0,0,14554.6,67,67,34,21,0,0,1289.2
"20",4420,96,96,51,0,0,0,9572.2,96,96,72,0,0,0,9536.6,23,23,17,0,0,0,607.5
"21",4440,103,103,58,0,0,0,9659.1,103,103,51,12,0,0,9684.6,24,24,0,15,0,0,633
"22",4470,191,191,51,54,46,22,7367.6,191,191,36,90,28,10,7363.9,70,70,0,39,15,11,663.9
"23",4480,95,95,32,10,10,0,9614.8,95,95,28,26,0,0,9656.1,25,25,11,12,0,0,624
"24",4580,83,83,35,0,13,0,9725,83,83,12,0,13,0,9966.9,22,22,0,12,0,0,645.6
"25",4630,130,129,69,14,0,0,9652.1,129,129,81,21,0,0,9601.1,28,28,10,14,0,0,637
"26",4660,164,155,81,26,34,0,7212.6,164,164,75,56,16,0,7259.8,50,50,24,16,0,0,624.9
"27",4730,265,265,83,73,73,36,7340.8,265,265,81,98,63,14,7346,89,89,23,41,19,0,647.7
"28",4780,145,137,79,14,12,0,7191.6,145,145,75,52,0,0,7214.8,44,44,17,22,0,0,628.8
"29",4880,108,108,58,0,0,0,9642.2,108,108,81,0,0,0,9559.9,22,22,0,14,0,0,629.1
"30",4890,90,90,45,0,0,0,7212.3,90,90,30,26,0,0,7267.8,25,25,0,13,0,0,632.1
"31",4900,182,182,111,24,0,0,9612.3,182,182,133,15,0,0,9563.1,42,42,17,23,0,0,621.2
"32",4920,119,119,44,13,0,0,9742.6,119,119,68,22,0,0,9669.9,23,23,0,12,0,0,639.1
"33",4960,305,305,145,74,58,22,7254.3,305,305,146,126,16,0,7242.8,87,87,25,43,12,0,641.8
"34",4990,183,183,97,51,12,0,7206.5,182,182,122,38,0,0,7151.5,59,59,31,28,0,0,620.7
"35",5020,68,68,28,10,10,0,7219.7,68,68,38,14,0,0,7198.6,15,15,0,10,0,0,630.3
"36",5030,213,213,0,0,19,178,7784.2,213,213,0,0,43,150,7718,77,77,0,0,22,49,700.5
"37",5060,113,113,70,11,0,0,7121.7,113,113,81,12,0,0,7173.6,36,36,16,17,0,0,623.8
"38",5100,142,142,52,42,28,0,7291.2,142,142,36,54,33,0,7317.3,43,43,0,23,10,0,652.5
"39",5180,283,282,154,77,22,0,14577.4,283,283,209,43,0,0,14450.7,98,98,45,32,0,0,1291.7
"40",5240,115,115,0,0,14,67,7627.8,115,115,11,15,30,34,7518.6,39,39,0,20,10,0,663.4
"41",5260,137,134,50,11,10,0,9783.5,136,136,70,34,0,0,9725.2,39,39,11,17,0,0,641.6
"42",5340,181,181,26,44,57,17,9921.1,181,181,27,65,40,12,9924,44,44,0,25,10,0,651.8
"43",5500,96,91,49,0,0,0,7183,96,96,57,12,0,0,7191.8,35,35,20,12,0,0,611.8
"44",5560,156,155,105,10,0,0,9564.4,156,156,121,0,0,0,9590,35,35,19,15,0,0,613.1
"45",5590,200,200,98,52,28,10,7235.6,200,200,95,70,18,0,7249.3,64,64,27,23,10,0,635.6
"46",5600,141,129,59,13,0,10,7266.7,141,141,77,37,0,0,7230.4,49,49,17,23,0,0,632.5
"47",5610,178,178,103,27,11,0,9616.7,178,178,117,39,10,0,9589.6,32,32,22,0,0,0,606
"48",5620,95,95,64,0,0,0,7141,95,95,64,21,0,0,7137.5,23,23,11,12,0,0,618.2
"49",5780,205,205,76,52,51,23,7324.5,205,205,79,87,20,0,7300.4,71,71,15,44,10,0,644.2
"50",5800,74,74,31,0,0,0,9662.1,73,73,21,10,0,0,9646.7,15,15,0,0,0,0,630.1
"51",5860,130,123,51,15,0,0,9710.2,128,128,56,39,14,0,9709.7,33,33,17,14,0,0,623.7
"52",5960,69,69,28,0,0,0,9654.8,69,69,14,0,0,0,9709.1,12,12,0,0,0,0,625
"53",5970,191,187,63,44,45,29,7340.2,192,192,75,64,36,0,7289.9,60,60,11,33,13,0,648
"54",6010,129,129,45,34,24,0,7295.2,129,129,50,46,18,0,7288.4,33,33,17,15,0,0,624.3
"55",6120,148,146,75,30,12,0,7223.3,148,148,87,44,0,0,7218.6,48,48,14,29,0,0,636.5
