"","SCHOOL_NAME","YEAR","TOTAL","Asian_Per","Black_Per","Hispanic_Per","Indian_Per","White_Per","FreeReducedLunch_FTE_Per"
"1","ACAD OF ENVT SCI/MATH ELEM (4990)",2015,328,0,98.8,0.6,0,0.6,"*"
"2","ACAD OF ENVT SCI/MATH ELEM (4990)",2014,505,0.2,98.6,0.8,0,0.4,"*"
"3","ACAD OF ENVT SCI/MATH ELEM (4990)",2013,786,0.3,97.6,0.8,0.3,1.1,"*"
"4","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2015,282,0.4,97.5,0,0,2.1,"*"
"5","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2014,306,0,99.3,0,0.3,0.3,"*"
"6","ACAD OF ENVT SCI/MATH MIDDLE (3250)",2013,409,0,99,0.2,0.5,0.2,"*"
"7","ADAMS ELEM. (4000)",2015,278,0.4,96.4,0,0,3.2,"*"
"8","ADAMS ELEM. (4000)",2014,314,0.3,95.5,0,0,4.1,"*"
"9","ADAMS ELEM. (4000)",2013,279,0,97.5,0,0,2.5,"*"
"10","ADAMS ELEM. (4000)",2012,283,0,96.5,0.7,0,2.8,"*"
"11","ADAMS ELEM. (4000)",2011,291,0,97.6,0,0,2.4,"*"
"12","ADAMS ELEM. (4000)",2010,350,0.3,96.6,0,0,3.1,"93.7"
"13","ADAMS ELEM. (4000)",2009,303,0.3,93.1,0.3,0,6.3,"85.9"
"14","ADAMS ELEM. (4000)",2008,299,0.3,94.3,0.3,0,5,"85.1"
"15","AMES VISUAL/PERF. ARTS (4250)",2015,345,0,98.8,0.9,0,0.3,"*"
"16","AMES VISUAL/PERF. ARTS (4250)",2014,364,0,97.5,0.8,0.3,1.4,"94"
"17","AMES VISUAL/PERF. ARTS (4250)",2013,416,0,96.4,0.2,0.2,3.1,"*"
"18","AMES VISUAL/PERF. ARTS (4250)",2012,342,0,95.3,0.6,0.3,3.8,"93.6"
"19","AMES VISUAL/PERF. ARTS (4250)",2011,347,0.6,93.7,1.2,0.3,4.3,"90.8"
"20","AMES VISUAL/PERF. ARTS (4250)",2010,318,0.9,91.2,1.3,0.9,5.7,"91.7"
