"","Precinct","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"1",1,66679,47231,10520,1982,4676,1909,361,3253,49,180,354,840
"2",5,52568,10739,32708,2299,5910,774,138,2697,87,485,379,2262
"3",6,62226,50468,4983,1214,3781,1489,291,2759,40,102,247,633
"4",7,56355,13479,19192,4578,17976,909,221,8041,136,1414,1391,6994
"5",9,76443,39560,10831,5466,18291,1845,450,8615,115,1438,1339,6784
"6",10,50180,30799,5604,3518,8821,1157,281,5039,49,653,690,2390
"7",13,93640,65354,12785,4369,8565,2139,428,5432,98,495,673,1867
"8",14,20651,11605,4933,1353,2198,448,114,1263,31,128,184,592
"9",17,79126,60226,11038,1583,4595,1337,347,3465,59,128,222,721
"10",18,54066,32682,8389,2637,8883,1164,311,4942,73,469,686,2713
"11",19,208259,168711,16727,4817,13827,3480,697,9684,132,548,909,2554
"12",20,102624,78880,8958,3855,8609,1945,377,5236,66,656,599,2052
"13",22,25,2,0,16,6,0,1,4,0,2,0,0
"14",23,73106,10864,5428,18582,36656,1106,470,13710,125,4366,2493,15962
"15",24,106460,61970,6975,11979,22738,2228,570,10163,88,2683,2074,7730
"16",25,47405,3578,1226,19008,22634,707,252,7308,74,2935,1778,10539
"17",26,49508,19207,6163,10158,12277,1389,314,4496,57,1452,1071,5201
"18",28,44781,7227,1570,25067,9393,1204,320,2572,37,1966,1011,3807
"19",30,60685,6178,1369,16951,34825,965,397,8529,96,4152,3119,18929
"20",32,70942,3823,1217,47791,16299,1368,444,3675,65,3620,1347,7592
"21",33,77645,8151,2126,8661,57530,790,387,14481,210,5624,5202,32013
"22",34,112375,25291,2668,5293,77446,1144,533,21618,222,6951,6993,41662
"23",40,91497,1428,525,23680,64887,567,410,19842,121,7705,4902,32317
"24",41,52246,694,331,11536,39089,350,246,12261,124,4292,3390,19022
"25",42,79762,918,358,31387,46013,635,451,12896,90,7029,4048,21950
"26",43,172122,4739,9866,53042,99213,2632,2630,35452,321,12450,7238,43752
"27",44,146441,2193,2232,47344,92338,1382,952,23763,272,11546,7507,49250
"28",45,120833,41615,5506,26967,44175,1540,1030,19695,162,4289,2932,17097
"29",46,128200,1791,1902,36795,85600,1121,991,22140,238,10137,6947,46138
"30",47,152374,10871,2872,99102,34919,2498,2112,10868,110,6436,2618,14887
"31",48,83266,6219,930,21548,53447,675,447,17443,97,6647,3763,25497
"32",49,114712,31212,8697,23367,48721,1594,1121,19093,141,5203,3487,20797
"33",50,101720,39181,5022,11432,44156,1365,564,15178,162,4298,3500,21018
"34",52,139307,10034,9156,26171,90981,1672,1293,27361,302,8863,7396,47059
"35",60,104278,59405,12294,13401,17423,1302,453,6871,78,1597,1173,7704
"36",61,159645,114720,24107,5298,13029,2063,428,6353,116,642,757,5161
"37",62,181981,90741,62901,1362,24239,2161,577,10161,252,532,1400,11894
"38",63,108646,45309,5045,46606,9247,1747,692,3805,46,1937,705,2754
"39",66,191382,125152,33856,4338,24854,2335,847,9796,155,974,1854,12075
"40",67,155252,2204,1734,137243,10536,2478,1057,1698,43,4873,922,3000
"41",68,124491,76537,25743,1757,17868,2137,449,8734,141,531,1214,7248
"42",69,84480,4972,2233,68396,7059,1287,533,1913,40,2441,518,2147
"43",70,160664,59590,15147,56948,25165,2683,1131,7572,134,4036,1852,11571
"44",71,98429,18825,1214,66958,9157,1671,604,1987,39,3456,876,2799
"45",72,126230,29464,33288,3688,57375,1770,645,23247,277,2161,3724,27966
"46",73,86468,858,604,65930,17369,1124,583,4290,29,4749,1549,6752
"47",75,183328,6245,8979,94685,67131,2908,3380,20624,155,10767,5046,30539
"48",76,43694,24791,2018,6097,9543,1014,231,4552,42,1107,722,3120
"49",77,96309,16048,2712,63111,11498,2304,636,2763,31,3659,1074,3971
"50",78,61099,40965,3517,4877,9509,1872,359,4817,65,795,837,2995
"51",79,90263,14506,2390,51142,20014,1634,577,5869,53,3735,1611,8746
"52",81,62722,2128,1068,47638,10474,1005,409,2453,28,2664,906,4423
"53",83,112634,9564,4776,22688,73616,1169,821,24619,177,5407,5099,38314
"54",84,48196,30066,4451,5935,6078,1383,283,3231,68,535,494,1750
"55",88,51421,15904,3341,21986,8093,1747,350,2865,52,1390,772,3014
"56",90,116836,64467,5456,7294,37920,1205,494,15897,88,2680,2515,16740
"57",94,56247,40844,3255,1688,9088,1007,365,4618,38,349,674,3409
"58",100,47913,26793,1320,11609,7161,685,345,3102,27,1085,502,2445
"59",101,67065,13666,1235,33054,16941,1265,904,5527,43,2209,1409,7753
"60",102,144008,28493,31299,12021,58767,6580,6848,25247,327,2883,4503,25807
"61",103,105803,2765,17579,45835,29343,4603,5678,9241,125,2400,2616,14961
"62",104,170190,93378,13118,2368,58947,1639,740,26765,266,1952,3796,26168
"63",105,188582,24611,27688,104029,22337,5688,4229,9061,193,3889,1929,7265
"64",106,122441,31739,22203,20990,28309,9234,9966,12155,253,1611,2234,12056
"65",107,151107,52871,47039,19107,25621,4561,1908,12581,287,1612,2150,8991
"66",108,113200,32470,36239,2132,39207,2370,782,17720,214,805,2979,17489
"67",109,247354,73668,122012,5512,41164,4054,944,21568,484,1084,2843,15185
"68",110,172634,12352,57253,9091,90314,2534,1090,38583,387,2336,6312,42696
"69",111,116431,54690,45763,2400,11676,1558,344,7225,158,233,855,3205
"70",112,112277,62092,29218,2797,15146,2394,630,9469,156,450,1125,3946
"71",113,120132,1057,2577,101721,9783,2978,2016,1979,38,3232,920,3614
"72",114,202766,91531,28947,21019,54441,4150,2678,25189,394,2514,3500,22844
"73",115,171576,20334,26996,10683,110108,2209,1246,45808,254,3017,7291,53738
"74",120,175876,69615,13111,38630,50069,3464,987,21279,277,4593,3620,20300
"75",122,194822,147259,17065,4467,23000,2371,660,14260,160,768,1425,6387
"76",123,98032,83295,4521,1216,7982,805,213,5969,30,183,433,1367
