"","DBN","School","Year","Total4","TotalGrad4","AllRegents4","AdvRegents4","Local4","StillEnroll4","DropOut4","Total6","TotalGrad6","AllRegents6","AdvRegents6","Local6","StillEnroll6","DropOut6"
"1","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2015,73,46,41,0,5,18,7,82,61,53,0,8,6,15
"2","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",2015,82,68,58,13,10,5,8,88,72,53,6,19,1,14
"3","01M450","EAST SIDE COMMUNITY SCHOOL",2015,88,75,74,0,1,10,3,75,67,67,0,0,1,6
"4","01M458","FORSYTH SATELLITE ACADEMY",2015,87,13,11,0,2,65,9,118,41,40,0,1,12,60
"5","01M509","MARTA VALLE HIGH SCHOOL",2015,102,45,38,5,7,31,18,63,36,31,4,5,5,18
"6","01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",2015,264,105,103,57,2,83,75,246,110,109,51,1,27,108
"7","01M539","NEW EXPLORATIONS INTO SCIENCE  TECHNOLOGY AND MATH HIG",2015,122,119,119,91,0,2,1,137,134,134,96,0,0,2
"8","01M650","CASCADES HIGH SCHOOL",2015,109,29,29,0,0,64,14,150,116,108,0,8,3,31
"9","01M696","BARD HIGH SCHOOL EARLY COLLEGE",2015,154,148,148,0,0,4,2,123,121,121,0,0,0,1
"10","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SC",2015,29,15,13,2,2,12,1,42,35,27,3,8,1,3
"11","02M288","FOOD AND FINANCE HIGH SCHOOL",2015,99,78,67,0,11,14,7,79,74,65,0,9,1,3
"12","02M294","ESSEX STREET ACADEMY",2015,89,70,67,0,3,15,4,75,61,56,0,5,1,13
"13","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",2015,103,83,71,0,12,18,2,75,56,52,0,4,3,16
"14","02M298","PACE HIGH SCHOOL",2015,98,85,85,17,0,12,1,98,92,92,6,0,0,6
"15","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION  THE",2015,108,64,64,0,0,36,8,74,60,59,1,1,4,9
"16","02M303","FACING HISTORY SCHOOL  THE",2015,96,58,57,0,1,20,15,97,66,66,0,0,1,27
"17","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW  THE",2015,77,66,57,0,9,8,2,74,66,61,0,5,0,8
"18","02M308","LOWER MANHATTAN ARTS ACADEMY",2015,85,58,49,0,9,15,8,70,59,52,0,7,1,8
"19","02M313","JAMES BALDWIN SCHOOL  THE: A SCHOOL FOR EXPEDITIONARY",2015,135,58,57,0,1,49,25,114,71,68,0,3,10,32
"20","02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN",2015,75,57,52,15,5,17,1,77,66,57,2,9,2,8
"21","02M374","GRAMERCY ARTS HIGH SCHOOL",2015,113,93,90,9,3,10,6,111,93,88,3,5,7,11
"22","02M376","NYC ISCHOOL",2015,100,98,98,0,0,2,0,96,93,93,0,0,0,3
"23","02M392","MANHATTAN BUSINESS ACADEMY",2015,99,85,76,1,9,5,8,88,77,68,4,9,2,8
"24","02M393","BUSINESS OF SPORTS SCHOOL",2015,75,45,36,0,9,23,5,76,61,55,3,6,2,11
"25","02M394","EMMA LAZARUS HIGH SCHOOL",2015,59,31,31,15,0,18,9,81,55,55,33,0,12,14
"26","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",2015,84,59,55,5,4,17,8,81,64,59,13,5,5,10
"27","02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",2015,325,259,234,59,25,48,17,294,265,253,71,12,5,18
"28","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",2015,70,61,61,0,0,7,1,71,69,69,0,0,1,1
"29","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",2015,97,91,88,14,3,6,0,109,107,102,8,5,0,2
"30","02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",2015,105,104,104,40,0,1,0,115,115,115,55,0,0,0
"31","02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",2015,163,157,156,80,1,6,0,127,124,119,60,5,0,1
"32","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",2015,89,83,83,0,0,6,0,89,85,85,0,0,1,3
"33","02M414","N.Y.C. MUSEUM SCHOOL",2015,110,109,109,64,0,1,0,125,124,121,62,3,1,0
"34","02M416","ELEANOR ROOSEVELT HIGH SCHOOL",2015,129,129,129,117,0,0,0,122,122,122,101,0,0,0
"35","02M418","MILLENNIUM HIGH SCHOOL",2015,152,149,149,81,0,2,1,179,178,177,105,1,0,1
"36","02M419","LANDMARK HIGH SCHOOL",2015,94,38,38,0,0,34,17,95,54,51,0,3,1,38
"37","02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",2015,449,385,354,147,31,53,9,363,327,311,73,16,6,27
"38","02M422","QUEST TO LEARN",2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",2015,162,97,84,2,13,45,15,135,108,92,7,16,3,19
