"","Precinct","Arrest15","Frisk15","Search15","Male15","Female15","Age15","Asian15","Black15","Native15","Hispanic15","White15","OthrRace15","Asslt15","Contra15","Homici15","Larcen15","SexOff15","OthrCr15"
"1",1,4,4,3,4,0,38.5,0,4,0,0,0,0,0,1,0,1,1,1
"2",5,27,20,18,25,2,29.96,0,15,0,10,2,0,1,10,0,8,2,6
"3",6,3,2,0,3,0,37.33,0,3,0,0,0,0,0,0,0,2,0,1
"4",7,29,23,22,27,2,28.24,0,6,0,20,3,0,2,13,0,3,0,11
"5",9,94,76,69,80,14,31.46,6,29,0,52,7,0,5,39,0,14,1,35
"6",10,9,7,9,9,0,28.11,0,4,0,2,3,0,1,4,0,3,0,1
"7",13,119,107,91,109,10,33.8,7,57,0,28,27,0,9,69,0,22,7,12
"8",14,55,42,35,47,7,30.93,1,27,0,20,6,0,2,18,1,15,12,7
"9",17,21,20,16,18,3,34.62,2,7,0,7,5,0,0,10,0,6,5,0
"10",18,11,9,9,10,1,31.64,0,9,0,1,1,0,2,1,0,8,0,0
"11",19,110,94,53,91,18,38.3,1,54,1,43,11,0,2,21,0,77,2,8
"12",20,28,21,18,23,5,46.32,1,15,0,10,2,0,4,7,0,15,0,2
"13",22,4,2,1,4,0,16.75,0,1,0,3,0,0,1,0,0,3,0,0
"14",23,41,34,26,38,3,28.93,2,22,0,15,2,0,9,14,0,6,0,12
"15",24,39,25,19,30,7,33.77,0,24,0,7,5,3,3,10,0,4,0,22
"16",25,127,112,105,120,7,30.41,3,80,0,29,6,3,8,75,0,18,2,24
"17",26,25,18,8,18,6,26.48,0,16,0,5,2,1,0,3,0,8,0,14
"18",28,16,13,11,15,1,28.44,0,12,0,3,0,0,3,7,0,5,0,1
"19",30,20,20,17,20,0,26.3,0,11,0,9,0,0,1,12,0,4,0,3
"20",32,81,48,49,68,12,31.14,0,62,1,14,1,3,9,37,0,8,0,27
"21",33,9,9,7,9,0,24.67,0,3,0,6,0,0,0,8,0,1,0,0
"22",34,14,14,11,14,0,29.07,0,4,0,10,0,0,3,9,0,1,0,1
"23",40,540,387,334,464,72,32.8,0,256,0,255,12,12,20,234,0,51,2,233
"24",41,79,60,52,69,9,28.54,0,37,0,40,2,0,14,30,1,24,0,10
"25",42,153,110,95,127,25,27.62,1,88,0,56,0,8,5,83,0,7,0,58
"26",43,181,93,104,154,26,27.05,1,83,0,86,2,6,6,101,0,19,0,55
"27",44,63,50,34,62,1,26.78,0,33,0,29,1,0,4,30,0,12,1,16
"28",45,28,24,20,28,0,27.57,1,8,0,13,6,0,1,12,0,10,0,5
"29",46,27,26,22,27,0,30.33,0,13,0,13,1,0,0,26,0,0,0,1
"30",47,213,160,148,192,16,27.11,0,147,1,58,2,4,3,135,0,14,2,59
"31",48,21,18,15,20,1,29.05,0,9,0,11,1,0,0,17,0,2,0,2
