"","Year","NHD_NUM","Homicide","Assault","SexOffense","Contraband","Larceny","Vandalism","Others","Total"
"1",2008,0,5,154,25,62,415,65,128,854
"2",2008,1,3,199,21,92,942,218,199,1674
"3",2008,2,0,106,5,37,268,91,78,585
"4",2008,3,0,24,2,6,195,26,34,287
"5",2008,4,1,59,6,12,346,76,66,566
"6",2008,5,0,197,11,44,923,271,180,1626
"7",2008,6,0,49,5,19,293,69,65,500
"8",2008,7,0,69,3,12,301,81,93,559
"9",2008,8,0,21,2,3,342,60,56,484
"10",2008,9,0,68,6,14,362,87,99,636
"11",2008,10,0,29,5,6,154,24,37,255
"12",2008,11,0,31,5,3,180,57,32,308
"13",2008,12,1,48,2,26,255,67,35,434
"14",2008,13,0,70,4,19,358,94,82,627
"15",2008,14,0,93,4,19,378,102,93,689
"16",2008,15,2,289,15,35,1301,317,235,2194
"17",2008,16,6,502,30,262,1489,368,399,3056
"18",2008,17,1,108,3,60,391,106,84,753
"19",2008,18,0,153,11,55,299,85,97,700
"20",2008,19,4,287,19,91,691,205,231,1528
"21",2008,20,0,12,1,28,132,30,27,230
"22",2008,21,0,111,17,80,459,84,105,856
"23",2008,22,1,77,6,20,325,66,76,571
"24",2008,23,1,48,5,8,169,34,39,304
"25",2008,24,0,89,8,16,299,63,58,533
"26",2008,25,1,194,19,49,837,141,147,1388
"27",2008,26,0,8,0,2,103,22,13,148
"28",2008,27,1,99,17,19,547,109,99,891
"29",2008,28,2,38,6,17,93,35,17,208
"30",2008,29,3,59,2,13,159,31,18,285
"31",2008,30,2,256,9,54,544,127,163,1155
"32",2008,31,0,102,6,22,296,80,85,591
"33",2008,32,0,17,3,3,168,42,26,259
"34",2008,33,1,112,7,24,115,62,74,395
"35",2008,34,1,55,4,5,180,41,41,327
"36",2008,35,3,394,35,65,1746,264,375,2882
"37",2008,36,3,289,60,97,1096,198,252,1995
"38",2008,37,0,159,10,32,603,130,116,1050
"39",2008,38,3,190,17,50,1781,271,294,2606
"40",2008,39,1,123,12,41,463,105,76,821
"41",2008,40,0,5,0,3,30,6,4,48
"42",2008,41,0,15,3,5,79,7,33,142
"43",2008,42,1,25,3,7,156,34,30,256
"44",2008,43,0,42,0,4,155,24,34,259
"45",2008,44,0,15,2,1,116,29,23,186
"46",2008,45,0,4,0,0,49,15,5,73
"47",2008,46,1,51,4,14,412,88,45,615
"48",2008,47,0,42,3,9,327,52,25,458
"49",2008,48,5,260,16,64,679,162,106,1292
"50",2008,49,0,40,4,0,90,38,13,185
"51",2008,50,10,415,20,303,984,197,181,2110
"52",2008,51,6,197,18,90,428,83,127,949
"53",2008,52,5,214,6,48,498,119,93,983
"54",2008,53,0,95,7,75,221,44,66,508
"55",2008,54,1,107,6,45,243,42,46,490
"56",2008,55,5,241,9,76,450,98,77,956
"57",2008,56,5,340,18,163,800,188,133,1647
"58",2008,57,3,122,6,27,254,73,45,530
"59",2008,58,2,94,1,14,221,47,37,416
"60",2008,59,13,499,31,167,799,193,186,1888
"61",2008,60,0,87,5,55,278,80,53,558
"62",2008,61,1,209,4,64,260,88,101,727
"63",2008,62,2,68,7,41,189,35,66,408
"64",2008,63,2,57,4,18,229,60,31,401
"65",2008,64,0,36,11,18,331,49,45,490
"66",2008,65,5,140,6,50,326,85,53,665
"67",2008,66,4,160,14,117,317,87,53,752
"68",2008,67,5,149,15,100,308,66,110,753
"69",2008,68,9,319,7,104,652,169,88,1348
"70",2008,69,5,265,17,95,844,204,103,1533
"71",2008,70,2,89,4,53,224,45,47,464
"72",2008,71,11,190,5,68,568,144,68,1054
"73",2008,72,3,235,12,97,533,117,72,1069
"74",2008,73,4,119,7,17,418,82,44,691
"75",2008,74,7,262,21,52,1020,261,101,1724
"76",2008,75,1,23,2,4,114,19,5,168
"77",2008,76,5,188,7,81,409,77,59,826
"78",2008,77,0,129,6,36,515,91,91,868
"79",2008,78,6,194,11,130,377,81,86,885
"80",2008,79,0,21,3,9,153,42,19,247
"81",2008,80,0,5,0,1,10,3,1,20
"82",2008,81,0,2,0,2,23,4,2,33
"83",2008,82,0,10,6,2,326,42,32,418
"84",2008,83,0,13,0,7,12,3,3,38
"85",2008,84,0,4,0,1,3,1,2,11
"86",2008,85,0,3,0,1,6,2,1,13
"87",2008,86,0,2,0,1,30,3,3,39
"88",2008,87,0,1,0,0,14,0,0,15
"89",2008,88,0,1,1,3,27,0,8,40
"90",2009,0,0,25,18,11,178,25,34,291
"91",2009,1,1,281,12,81,805,212,213,1605
"92",2009,2,3,116,6,35,258,71,80,569
"93",2009,3,0,33,5,2,170,39,21,270
"94",2009,4,0,57,1,23,308,74,74,537
"95",2009,5,1,263,18,43,889,219,189,1622
"96",2009,6,0,49,5,12,295,99,74,534
"97",2009,7,0,58,6,16,373,93,94,640
"98",2009,8,0,43,6,5,277,67,65,463
"99",2009,9,0,85,8,21,417,93,98,722
"100",2009,10,0,41,2,4,184,17,20,268
"101",2009,11,1,39,0,5,180,35,37,297
"102",2009,12,0,53,2,11,268,59,45,438
"103",2009,13,0,96,6,15,384,122,105,728
"104",2009,14,0,95,5,8,382,80,73,643
"105",2009,15,3,266,12,55,1451,267,216,2270
"106",2009,16,4,502,46,233,1430,386,346,2947
"107",2009,17,1,136,9,67,371,109,87,780
"108",2009,18,3,134,4,40,317,71,59,628
"109",2009,19,1,329,24,85,727,135,194,1495
"110",2009,20,0,24,6,4,147,25,33,239
"111",2009,21,0,88,21,41,468,120,75,813
