"","SchNum","Asian","Black","Hispanc","Indian","White","FTE","Total","TtlIncd","DrugNum","SspnsnN","EngAc","EngRe","EngBB","EngBa","EngPr","EngAd","EngMS","MatAc","MatRe","MatBB","MatBa","MatPr","MatAd","MatMS","SciAc","SciRe","SciBB","SciBa","SciPr","SciAd","SciMS","GradNum","GrdAbNA","PrcntTs","ACTScor"
"1",1015,0,11,0,0,1,NA,12,0,0,0,0,0,0,0,0,0,7171.2,0,0,0,0,0,0,7107.3,0,0,0,0,0,0,645.8,NA,NA,NA,NA
"2",1100,1,655,2,1,26,NA,685,24,6.85,19.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,26,99.46,16.9
"3",1220,98,668,90,3,263,NA,1121,26,7.847,25.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,31,110.73,16.1
"4",1222,4,100,4,1,27,NA,136,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1250,4,398,7,0,33,NA,442,14,2.21,12.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,1,0.64,21
"6",1440,7,215,23,1,44,NA,290,13,2.03,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,14,78.26,17.2
"7",1500,2,369,18,2,23,NA,414,20,2.898,14.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,21,108,17.2
"8",1510,21,62,2,1,24,NA,110,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1540,1,357,0,1,5,NA,364,17,5.096,17.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1,60.38,15.4
"10",1550,0,287,1,1,1,NA,290,8,2.03,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,2,127.27,13.7
