"","Precinct","PopulationW","MaleW","FemaleW","HispanicW","WhiteW","BlackW","NativeW","AsianW","ChineseW","JapaneseW","UnemployedW","LaborforceW","IncomeW"
"1",1,65261,32121,33139,4567,49457,2119,87,10309,4598,692,2130,51718,7468751375
"2",5,52332,25970,26362,5997,14187,2767,88,31789,29710,209,2672,30209,1894555237
"3",6,60831,29261,31570,3685,52083,1273,79,4865,1677,485,2431,45090,6226922593
"4",7,56433,26254,30179,17879,20737,5998,320,20232,18340,230,3518,30898,1525899080
"5",9,77563,37446,40117,18369,49070,6940,362,11096,5967,789,3339,51190,3954906129
"6",10,45796,23613,22184,8046,32516,3702,162,5402,2250,459,2448,34479,4059091189
"7",13,94675,43896,50780,8739,71869,4702,195,12963,4238,952,4250,69172,7969906586
"8",14,24370,12093,12277,2535,16546,1609,57,4762,1394,465,1129,18223,2091821565
"9",17,74956,34198,40759,4525,59890,1848,72,10608,3058,1466,2717,56214,8153294844
"10",18,59322,30367,28955,9409,40923,3595,181,9616,3285,1333,2960,44328,5041534820
"11",19,208236,91537,116699,13823,178378,5362,231,16858,5225,2050,7025,150203,22560176131
"12",20,100995,46407,54588,8407,83045,4384,175,8706,2937,1122,4088,73323,10427243055
"13",22,191,97,94,29,110,55,1,11,4,1,16,118,14434792
"14",23,72828,33389,39438,36584,24855,22305,750,5538,2699,461,5114,41551,1992595342
"15",24,106300,48703,57597,22708,72017,14645,457,7053,2496,832,5382,70964,6841000811
"16",25,47492,22819,24673,22657,10605,22430,590,1315,557,104,2900,24059,864965290
"17",26,50342,22761,27581,12967,23878,11841,351,6234,2929,387,1422,24653,1505683611
"18",28,45953,21595,24358,9767,9774,27936,337,1616,529,173,2305,27835,1506848917
"19",30,59914,29146,30768,34145,14553,20905,791,1454,478,168,4652,38917,1355320216
"20",32,69727,31572,38155,15894,7502,50505,526,1269,440,126,7814,43201,1638049186
"21",33,78742,37866,40876,58039,23393,14388,1274,2400,883,135,7131,49698,1548533633
"22",34,111456,52929,58526,77016,46169,12248,1466,2829,664,307,10858,75571,2719271526
"23",40,92379,43303,49076,65461,21453,31642,1796,692,210,24,7635,49814,1098923293
"24",41,54031,25840,28191,40155,13362,16666,1078,449,82,12,4512,28397,661099196
"25",42,78105,35735,42370,44915,13390,37719,1314,451,110,16,7838,43081,948999485
"26",43,171172,79628,91544,98799,39972,65161,2182,10127,1135,50,13701,101968,3149208997
"27",44,145099,68262,76837,91484,25682,58401,2096,2457,309,31,13696,83708,2006076146
