"","District","PopulationW","MaleW","FemaleW","HispanicW","WhiteW","BlackW","NativeW","AsianW","ChineseW","JapaneseW","UnemployedW","IncomeW","LaborforceW"
"1",1,119536,56957,62579,34991,63409,12370,662,24589,18185,944,6346,4716711210,73785
"2",2,720023,339201,380822,66557,533185,30879,1226,117041,62536,8519,29050,67217230787,520453
"3",3,270544,124141,146403,42376,180061,43638,978,21814,8023,2375,12007,19486636920,178747
"4",4,90692,42793,47899,49774,26695,31222,1119,5174,2579,398,6369,1886128093,48652
"5",5,132592,60486,72106,39021,21847,81538,1150,3954,1636,359,10905,3158578193,77952
"6",6,241870,116124,125746,164724,82274,44361,3439,6460,1944,586,22012,5441926565,158947
"7",7,116840,59473,57367,75748,25224,45113,2051,1139,330,34,8677,1425312555,57448
"8",8,213811,99875,113935,120765,81913,58739,2745,7258,1588,55,15665,4391525220,122102
"9",9,229693,107668,122025,143883,39868,94916,3508,3215,329,38,23277,2895955118,131996
"10",10,351321,164629,186692,207372,118671,86299,5007,16717,2076,310,32477,6952410449,216371
"11",11,343426,156833,186593,110987,91383,170002,2789,17805,2099,93,31359,7711498249,216937
"12",12,138480,64843,73638,88564,31552,52712,2251,3582,343,36,13843,1923191173,80506
"13",13,168541,78526,90014,23421,69179,72870,731,10307,3853,784,11786,7437059316,117703
"14",14,201649,98484,103165,58469,136095,22662,1277,9666,5179,810,11170,5337843185,130696
"15",15,248371,121609,126762,73270,146302,20139,1947,37251,24615,1058,14037,9755829545,174521
"16",16,85831,38623,47208,14683,6111,69168,524,1304,540,41,8275,1720501858,51903
"17",17,237222,106698,130524,28393,35616,178766,1029,4215,1170,420,21060,5271942014,154081
"18",18,163995,72394,91601,11041,8548,145124,494,3008,1422,14,11459,3851792577,105251
"19",19,186675,84833,101841,68132,27201,107920,1850,9147,1470,20,13319,2986508956,102906
"20",20,380054,188014,192040,58786,236156,7118,1356,99439,80583,329,20053,8626173228,227387
"21",21,289961,138383,151577,36090,199579,17709,1027,49356,34742,67,16959,6815139044,160318
"22",22,350061,162821,187239,35135,169880,122924,1145,33558,16339,173,20995,9416379594,216035
"23",23,83815,36804,47012,16767,4963,68452,647,621,209,7,6631,1319225404,45328
"24",24,435181,220253,214928,205430,206381,18174,3778,90309,42015,972,19832,10004588555,281566
"25",25,309252,147370,161881,51564,128833,13298,765,137775,84486,426,16193,8049288653,183429
"26",26,186518,88690,97828,19247,94249,7961,322,72768,31145,280,9016,6486270405,115674
"27",27,363394,174592,188802,102362,133039,102777,3759,45678,5702,119,25619,8800737347,227848
"28",28,296174,139575,156599,59411,107900,77798,2300,62381,18555,1564,20196,8556584437,191479
"29",29,271193,125654,145539,35097,25604,180572,1729,31275,2216,74,20882,6987730611,179600
"30",30,369030,183678,185352,140646,190055,26107,2710,71603,16086,2940,23959,10510495568,251926
"31",31,468730,227289,241441,81051,341677,49857,1695,35164,13321,201,21440,15009035295,278677
"32",32,110662,55230,55432,72319,33890,27325,1500,4814,2219,233,11057,1971878498,74360
