"","Precinct","FELONY","MISDEMEANOR","VIOLATION","BURGLARY","DRUG","WEAPON","FELONY_ASSAULT","GRAND_LARCENY","MURDER","RAPE","ROBBERY","SEX_CRIME","COMPLETED","ATTEMPTED","BAR_CLUB","PARK","SCHOOL","RESIDENCE_PRVT","RESIDENCE_PUBL","RESIDENCE_APT","RESTAURANT","STREET"
"1",1,1700,3272,539,134,78,47,85,1078,1,7,79,49,5440,71,98,101,62,6,0,557,190,1110
"2",5,1238,2495,399,85,87,71,162,554,1,10,100,71,4074,58,121,101,45,4,361,353,115,1096
"3",6,1864,2654,384,151,212,74,98,1139,0,7,115,53,4802,100,504,142,7,31,0,651,248,1327
"4",7,1127,2298,566,84,305,91,143,427,1,7,106,51,3930,61,201,79,67,19,1155,517,68,1040
"5",9,1660,3209,539,134,424,83,127,895,1,16,134,51,5317,91,438,93,28,19,1005,908,147,1301
"6",10,1298,2018,372,71,276,38,106,734,1,10,104,38,3627,61,234,51,56,40,327,683,116,1036
"7",13,2465,3832,683,237,157,175,199,1415,2,19,146,138,6860,120,185,108,42,31,99,1088,241,1515
"8",14,3442,6291,634,297,372,168,180,2017,7,10,220,226,10212,155,217,50,17,3,0,243,494,2218
"9",17,1167,1322,354,98,13,28,74,710,1,2,49,70,2776,67,98,7,12,15,0,693,121,655
"10",18,2722,4071,975,219,340,29,157,1738,0,10,161,94,7540,228,382,41,84,38,34,911,371,2093
"11",19,2281,2887,519,172,32,24,124,1428,1,7,107,79,5586,101,88,30,24,17,125,1472,143,1243
"12",20,1071,2187,483,66,49,26,59,654,0,6,68,40,3626,115,42,48,51,19,160,899,90,830
"13",22,108,238,39,3,20,5,3,51,0,3,27,9,375,10,0,344,0,0,0,0,6,15
"14",23,1599,3828,827,107,668,241,301,348,7,19,221,74,6155,99,10,66,68,28,2814,969,48,1302
"15",24,1284,2577,670,107,162,67,105,618,1,6,141,36,4442,89,11,88,30,20,674,1114,80,1258
"16",25,1783,4565,748,110,898,243,350,392,5,17,228,94,6966,130,16,219,67,21,1161,1172,61,1960
"17",26,816,1572,354,64,128,61,78,313,0,6,122,36,2674,68,10,122,57,6,606,448,42,724
"18",28,1347,2891,614,102,358,92,233,391,3,10,187,53,4729,123,32,5,43,60,473,975,104,1410
"19",30,1043,2498,597,96,455,130,172,261,1,16,168,45,4082,56,18,90,8,39,43,1597,41,1550
"20",32,1639,3760,1014,110,596,158,347,334,2,31,277,69,6314,99,18,52,64,44,1691,1871,46,1621
"21",33,1174,2143,528,103,126,143,198,324,1,18,137,45,3785,60,18,84,33,9,73,1335,59,1231
"22",34,1812,2774,719,193,147,167,248,579,3,11,246,53,5218,87,104,78,61,13,121,1739,91,2041
"23",40,3383,7519,1355,236,1532,557,576,720,9,30,509,136,12038,219,67,176,134,207,2871,2148,70,3687
"24",41,2373,3754,808,164,482,155,641,369,2,23,227,67,6816,119,16,71,74,125,95,2067,28,2168
"25",42,1927,4531,1003,183,880,305,376,401,6,25,330,74,7370,91,9,101,192,162,1630,1851,20,2444
"26",43,3109,6700,1624,318,638,273,633,883,8,36,559,108,11227,206,42,139,134,819,1927,2977,55,3372
"27",44,3162,7066,1345,283,945,504,709,858,10,29,552,116,11380,193,53,397,117,104,446,3631,65,4141
"28",45,1528,3778,1000,145,188,97,194,722,3,5,161,56,6236,70,45,74,93,787,437,991,68,1830
"29",46,2604,5235,1412,266,958,296,560,536,13,20,419,83,9189,62,31,87,49,181,215,3771,35,3477
"30",47,2698,5065,1258,280,742,293,588,710,11,31,413,85,8845,176,31,57,115,1448,755,1945,50,3212
"31",48,2404,4702,1002,222,858,225,557,589,6,31,364,76,7963,145,45,109,133,275,170,2865,55,3139
"32",49,1621,3829,789,184,346,169,194,585,6,24,228,63,6126,113,11,76,69,688,470,1205,58,2380
"33",50,1236,2559,564,108,375,98,103,539,2,15,153,34,4290,69,31,119,64,192,277,1160,42,1628
"34",52,2840,6113,1054,273,1175,237,554,746,12,28,453,101,9821,186,31,205,95,214,45,3217,60,3719
"35",60,2077,3346,902,166,351,174,315,603,4,19,275,71,6224,101,24,122,78,411,1113,1312,52,1691
"36",61,1926,2878,633,335,234,60,184,711,5,8,212,37,5328,109,38,48,85,895,400,896,57,1737
"37",62,1825,3127,832,231,213,62,209,594,1,5,171,37,5690,94,43,40,48,751,0,1675,38,1897
