"","SchoolDist","FELONY","MISDEMEANOR","VIOLATION","BURGLARY","DRUG","WEAPON","FELONY_ASSAULT","GRAND_LARCENY","MURDER","RAPE","ROBBERY","SEX_CRIME","COMPLETED","ATTEMPTED","BAR_CLUB","PARK","SCHOOL","RESIDENCE_PRVT","RESIDENCE_PUBL","RESIDENCE_APT","RESTAURANT","STREET"
"0",25,3066,4995,1351,404,76,60,288,1289,5,0,244,0,9265,147,76,127,89,1501,412,1474,144,2628
"1",20,3547,6512,1757,557,570,164,384,1221,5,0,321,0,11646,170,115,140,89,1372,0,2906,121,4472
"2",3,3562,7152,1720,276,536,164,328,1693,4,0,400,0,12117,317,80,508,124,80,1325,2871,232,3221
"3",4,2298,5629,1145,171,922,317,458,492,9,0,318,0,8936,136,26,150,109,35,3200,1403,82,1921
"4",16,2653,3473,1195,297,414,191,458,572,11,0,424,0,7166,155,8,55,66,753,1116,1996,31,2143
"5",23,2818,4610,1355,153,594,436,551,510,13,0,353,0,8663,120,2,71,113,491,2129,2008,30,2345
"6",18,3167,4710,1633,264,364,209,542,861,12,0,416,0,9339,171,37,32,101,1765,476,2109,46,3272
"7",26,1661,2012,549,274,27,28,102,760,0,0,101,0,4121,101,27,37,77,1241,0,461,63,1202
"8",32,2194,2939,675,460,113,106,263,533,7,0,328,0,5708,100,42,72,58,295,193,2003,66,1957
"9",1,2323,4487,995,184,665,134,241,1106,2,0,188,0,7696,109,620,169,86,33,1926,1337,177,1994
"10",2,18322,28993,4982,1511,1650,685,1211,10991,14,0,1138,0,51346,951,1894,608,342,190,1224,6762,2055,12393
"11",24,4815,8727,1913,620,253,278,683,1676,6,0,617,0,15195,260,242,199,70,1752,4,3674,190,5441
"12",28,4632,8477,1781,395,460,454,651,1409,14,0,496,0,14679,211,94,85,112,2299,324,2143,123,4688
"13",10,6324,12944,2767,623,2306,597,1218,1824,23,0,996,0,21713,322,116,396,224,614,313,7391,163,8557
"14",9,4902,10737,2353,483,1783,738,1077,1162,19,0,830,0,17758,234,68,376,189,226,1506,5892,72,6533
"15",7,4432,8899,1529,259,1685,598,1004,866,12,0,588,13,14608,252,75,306,166,206,2839,2366,79,4238
"16",30,5023,8975,2174,567,454,350,626,1824,8,0,498,0,15890,282,318,142,100,1364,1007,3275,239,5515
"17",12,3290,6622,1557,307,1004,358,716,777,9,0,582,0,11266,203,31,168,183,545,886,3767,50,3855
"18",8,4193,8871,2297,437,1092,402,803,1208,6,0,585,0,15133,228,50,162,199,1187,2289,3685,81,4999
"19",14,4057,6651,1433,664,539,138,388,1496,8,0,434,0,11923,218,286,143,129,188,1916,2372,196,4107
"20",31,4950,12133,4310,559,613,306,679,1430,13,0,455,0,21118,275,106,139,312,6426,1065,2834,185,5139
"21",17,5325,8321,2660,554,816,324,872,1333,20,0,749,0,16014,292,82,157,156,940,337,5815,121,5550
"22",13,4060,6166,1676,464,354,185,525,1447,12,0,454,0,11689,213,102,219,137,446,1419,2245,217,3308
"23",15,3781,6788,1591,523,400,212,455,1439,5,0,407,0,11919,241,137,116,149,686,765,2235,189,3735
"24",22,4946,7846,2042,645,511,234,515,1683,21,0,604,0,14547,287,57,119,103,2569,542,3048,136,4903
"25",21,3968,6211,1619,470,546,231,515,1311,7,0,451,0,11592,206,66,153,138,1250,1094,2619,96,3642
"26",11,5086,10969,2563,541,1169,490,888,1720,18,0,745,0,18308,310,64,178,235,2327,1195,3967,151,6454
"27",29,4609,5916,1873,562,177,240,646,1194,11,0,568,0,12186,212,56,74,86,4686,28,1462,59,3828
"28",19,5312,8439,2117,437,1126,527,884,1352,16,0,740,0,15548,320,25,90,137,1878,1945,3305,97,5400
"29",27,6505,8614,2687,683,186,393,939,1749,15,0,704,0,17490,316,130,130,150,4131,739,3374,124,5352
"30",5,3632,8715,1940,221,1464,408,691,932,5,0,565,0,14029,258,30,267,145,79,2845,3126,160,3982
"31",6,3848,7004,1756,386,654,431,595,1146,5,0,526,0,12426,182,141,228,95,59,213,4327,186,4620
"32",10,139,619,101,5,35,4,15,56,1,0,18,0,842,17,0,0,30,7,147,97,2,103
