"","Precinct","TotalStu","FemaleStu","MaleStu","AsianStu","BlackStu","HispanicStu","WhiteStu","OtherStu","SWD","ELL","PovertyStu","NmTsELA","NmTs5ELA","MSELA","MS5ELA","L1NmELA","L1Nm5ELA","L2NmELA","L2Nm5ELA","L3NmELA","L3Nm5ELA","L4NmELA","L4Nm5ELA","L34NmELA","L34Nm5ELA","L34PcELA","L34Pc5ELA","ImprvELA","Imprv5ELA","NmTsMAT","NmTs5MAT","MSMAT","MS5MAT","L1NmMAT","L1Nm5MAT","L2NmMAT","L2Nm5MAT","L3NmMAT","L3Nm5MAT","L4NmMAT","L4Nm5MAT","L34NmMAT","L34Nm5MAT","L34PcMAT","L34Pc5MAT","ImprvMAT","Imprv5MAT","Total4","TtlGrad4","AllReg4","AdvRegs4","Local4","StlEnrl4","DropOut4","Total6","TtlGrad6","AllReg6","AdvRegs6","Local6","StlEnrl6","DropOut6","counts"
"0",1,11732,5895,5837,3728,1639,2782,3026,557,1583,284,5427,263.7,62.2,325.3,332.8,22.7,3.8,77.7,12.6,104.6,25.2,58.7,20.6,163.3,45.8,64.7,75.1,-18,-11.2,258.3,62.2,333.3,344.4,20.1,3,62.1,8.2,82.1,20,93.9,31,176,51,70.7,80.8,-13.3,-5.6,1813,1546,1513,905,33,197,61,1786,1651,1598,977,53,12,94,19
"1",5,5149,2542,2607,2913,801,1172,171,92,807,1033,4552,383.6,100.5,310.6,314,73,14.2,123.2,32.2,123.2,32.5,64.2,21.5,187.4,54,46.5,50.1,-24.1,-27.2,369.6,101.5,328.6,333.8,43.4,8.8,70.4,13.8,109.6,37,146.2,42,255.8,79,68.2,74.9,-13.8,-9.1,663,299,286,35,13,284,75,946,635,602,53,33,71,217,10
"2",6,2368,1179,1189,182,331,549,1169,137,601,152,720,361,116.5,329,324,25.5,9.5,81,31.5,159,48.5,95.5,27,254.5,75.5,70.5,63,-16.3,-23.8,359.5,116.5,337.5,336,11.5,5,56.5,18.5,131,47.5,160.5,45.5,291.5,93,81,78.4,-8.4,-5.9,254,84,84,0,0,133,15,388,219,213,0,6,65,98,6
"3",7,10487,5266,5221,3805,1570,3514,1326,272,1853,1402,8033,232,68.7,296.9,306.8,53.9,14.1,66.2,21.7,58.6,16,53.4,16.9,111.9,32.9,31.7,37.6,-22.8,-27.4,224.6,69.5,304.6,323.5,49.6,11.1,45.5,9.9,49.7,19.1,79.9,29.4,129.6,48.5,40.8,57,-20.8,-13.1,1244,888,834,244,54,196,140,1133,887,827,231,60,41,193,24
"4",9,5447,2789,2658,398,1321,2712,882,134,1823,365,4061,133.3,27.6,300.9,300.1,40.5,10.3,53.2,10.1,30.3,5.2,9.4,2,39.7,7.2,30.9,29.9,-15.9,-23.5,132.3,27.8,303.2,304,40.1,10.8,47.8,8,29.9,5.6,14.5,3.4,44.5,9,36.6,34.6,-15.9,-17.2,119,83,82,0,1,27,9,128,94,91,0,3,3,29,18
"5",10,8115,4737,3378,1154,1720,3184,1749,308,1329,595,5181,345.6,83,324.4,317,31.6,16.5,77.6,21,128.6,22,107.8,23.5,236.4,45.5,65.9,54.1,-5.2,-10.2,314.4,83,331.8,333,30.6,13,64.8,16,83,19,136,35,219,54,66.9,63.9,-8.3,-11.4,1246,908,876,215,32,229,94,1073,895,858,182,37,33,136,15
"6",13,8798,4862,3936,1818,1468,3112,2029,371,1530,970,5694,306,44.3,322.6,331,24.7,1,85.4,19,108,20,87.9,24.5,195.9,44.5,63.2,66.8,-3.5,-11.3,288.4,44.7,326.4,341,30,1.5,61.7,13.5,88.4,21,108.3,29,196.7,50,62.9,76,-5.2,-3.2,1408,1010,963,281,47,263,121,1745,1232,1182,264,50,162,322,17
"7",14,1392,725,667,51,366,898,56,21,241,261,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,220,201,11,19,94,69,685,451,404,7,47,34,178,6
"8",17,2080,1159,921,241,366,942,452,79,350,84,1156,312,99,320,319,41,17,88,26,114,29,69,27,183,56,58.7,56.6,-27.3,-24.7,319,99,321,322,41,15,82,24,102,35,94,25,196,60,61.4,60.6,-28.2,-22.2,312,247,240,50,7,52,10,301,277,267,20,10,7,13,2
"9",18,7006,3473,3533,483,1606,4043,682,192,1412,676,5584,163.7,49,316.7,311,31.7,8.5,60.7,16.5,44.7,15,26.7,9,71.3,24,53.9,47.7,-13.6,-18,161.3,49.5,320.3,316.5,34.3,11.5,51.3,11,40,14.5,35.7,12.5,75.7,27,54.4,53,-12.2,-17.3,1608,1076,999,144,77,356,158,1715,1285,1214,127,71,82,296,15
