"","SchoolDist","TotalStu","FemaleStu","MaleStu","AsianStu","BlackStu","HispanicStu","WhiteStu","OtherStu","SWD","ELL","PovertyStu","NmTsELA","NmTs5ELA","MSELA","MS5ELA","L1NmELA","L1Nm5ELA","L2NmELA","L2Nm5ELA","L3NmELA","L3Nm5ELA","L4NmELA","L4Nm5ELA","L34NmELA","L34Nm5ELA","L34PcELA","L34Pc5ELA","ImprvELA","Imprv5ELA","NmTsMAT","NmTs5MAT","MSMAT","MS5MAT","L1NmMAT","L1Nm5MAT","L2NmMAT","L2Nm5MAT","L3NmMAT","L3Nm5MAT","L4NmMAT","L4Nm5MAT","L34NmMAT","L34Nm5MAT","L34PcMAT","L34Pc5MAT","ImprvMAT","Imprv5MAT","Total4","TtlGrad4","AllReg4","AdvRegs4","Local4","StlEnrl4","DropOut4","Total6","TtlGrad6","AllReg6","AdvRegs6","Local6","StlEnrl6","DropOut6","counts"
"1",1,13021,6517,6504,2491,2482,5573,2126,349,3089,1236,9316,170.8,40.8,297.8,302.4,46.4,11.4,54.2,12.3,39.1,8.8,31.1,8.3,70.2,17.1,30.1,33,-18.2,-23.5,165.3,41.1,301.8,310.4,45.9,11.2,45.3,8.4,33.4,9.1,40.6,12.3,74.1,21.4,36,41.8,-18.5,-16.4,1081,648,621,166,27,282,137,1082,758,716,157,42,55,255,36
"2",2,60586,31628,28958,13956,10006,19897,14456,2271,10476,5276,36304,304.1,76.4,321.1,321.6,34.9,9.5,84.3,22,109.6,25.4,75.3,21.9,184.9,47.3,59.5,58.4,-14.4,-19.4,295.4,77.2,329.1,333.6,29.1,7.5,61.1,12.5,86.3,25.8,118.8,33.8,205.2,59.5,66.7,71,-11.1,-9.3,8561,6186,5926,1877,260,1631,642,9337,7306,6971,1840,335,476,1367,117
"3",3,26465,13878,12587,1827,7742,8697,7165,1034,4653,1429,14042,241.1,64.7,308.1,311.2,45.8,11.4,73.1,18.6,68.8,17.5,53.3,17.2,122.1,34.7,41,44,-12.8,-12.6,228,65.4,310.2,316.2,51.2,12.9,59.4,12.9,50,17.1,67.4,22.4,117.4,39.5,43.4,47.8,-19.2,-16.7,2374,1766,1665,516,101,467,128,2317,1832,1727,515,105,120,327,55
"4",4,17890,8942,8948,1050,5580,10181,734,345,3839,1635,15051,204.3,47,294,293.2,74.3,21.1,79.6,16.7,36.2,8.2,14.2,3.4,50.4,11.6,23.4,22.8,-21.3,-28.4,200.7,47.2,294.8,298.6,77.7,20.4,67.6,15.1,33.7,9.4,21.6,4.7,55.4,14.2,25.8,27.6,-25.7,-24.7,790,660,638,247,22,79,36,872,754,715,222,39,18,78,45
"5",5,19706,9702,10004,344,10665,7833,527,337,4528,1728,16253,192.1,48.7,286,283.6,86.7,24.6,67.9,18.3,27.9,4.7,9.6,1.1,37.5,5.8,18,12.8,-24.4,-22.6,185,49.7,283.3,285.5,95.7,27.7,55.2,15,22.7,5.7,11.4,1.3,34.2,7,17.9,14.2,-35.3,-24.2,837,523,462,94,61,211,84,835,622,567,70,55,46,148,45
"6",6,23250,11229,12021,443,1660,19934,1027,186,3943,6372,20175,264.6,67.6,285.5,288.2,115.9,29.6,101,24.9,38.7,9.7,9,3.3,47.7,13.1,17.8,19.4,-20.5,-22.5,273.3,70.3,290.8,296.1,113,30.6,97.6,19.9,45.5,14.9,17.2,5,62.7,19.9,23.1,28.8,-23.9,-18.5,1276,830,786,145,44,287,111,1455,1140,1083,187,57,58,203,48
"7",7,22203,10227,11976,242,5930,15504,323,204,5966,3983,20636,255.3,67.9,281.5,281.6,132.2,37.4,94.2,23.4,25,6.3,3.9,0.9,28.9,7.2,11.6,11,-17.5,-21.1,258.4,70.4,281.7,287.4,139.8,36.4,81.6,21.4,29.1,10.6,7.8,2.1,36.9,12.6,14.5,17.4,-24.1,-23.5,1397,771,704,53,67,399,186,1554,1019,907,39,112,115,343,55
"8",8,26317,12683,13634,1255,6192,17165,1419,286,6722,3392,23893,315.6,90.6,288.6,291.3,132.1,37.7,118.9,34,49.6,13.7,15,5.1,64.6,18.9,18.8,19.8,-26.1,-18.7,316.9,92.7,288.2,297.2,139,35.1,105.5,29.8,49.6,21.1,22.8,6.7,72.4,27.8,20.7,28.2,-35.1,-18.1,1203,588,491,20,97,388,202,1319,740,636,9,104,103,398,59
"9",9,35966,17538,18428,503,11195,23623,379,266,7137,7678,33012,306.5,92,283.1,282.9,153,48.3,111.8,32,34.7,9.2,7,2.6,41.6,11.8,14.1,13.3,-25.9,-27.4,311,95,285.1,290.7,156.5,46.3,100.8,28.9,39.6,15.6,14.1,4.2,53.7,19.8,17.7,21.2,-26.2,-21.5,2113,1380,1274,96,106,494,201,1917,1399,1274,123,125,102,365,74
"10",10,55056,26921,28135,4085,9324,37641,3103,903,10953,10847,47698,383.9,97.2,288.1,289.3,167.1,44.3,144.5,36,57.3,12.6,15,4.3,72.3,16.9,18.5,17.7,-28.4,-33.6,387.8,99.8,291,295.6,166.4,43.9,133.3,30.6,59.8,18.2,28.4,7.1,88.2,25.3,22.7,25.6,-27.8,-26.5,4072,2674,2536,1059,138,778,544,4641,3433,3136,1134,297,223,858,88
"11",11,42259,19725,22534,3134,17274,17770,3330,751,9759,4249,36618,410,108.8,291.3,293.8,154.6,43.4,162.6,42.5,73,16.9,19.8,5.9,92.8,22.9,20.8,22,-29.4,-36,410.5,110.4,293.2,301.9,154.5,40.6,144,34.1,74.9,26.2,37.1,9.4,112,35.7,25,32.8,-35,-30.5,2990,1831,1702,206,129,694,390,3190,2298,2094,232,204,153,624,72
"12",12,25740,12431,13309,576,6797,17697,351,319,6243,4756,23854,268.8,74.6,281.7,281.3,135.8,40.9,98.9,25.4,29,6.8,5,1.6,34.1,8.3,12.3,11.3,-25.9,-29.1,273.2,76.2,282.2,284.8,144.2,42.9,87.4,21.3,31.2,9.2,10.4,2.8,41.6,12,15,15.9,-34.5,-31.7,1631,941,867,57,74,464,191,1572,965,878,43,87,123,419,61
"13",13,23425,11213,12212,4167,12038,3581,2908,731,3470,957,15817,173,48.2,290.6,296.2,61.3,15.2,64.3,17.9,34.9,9.9,12.6,5.2,47.4,15.1,21.6,25.8,-28.9,-27.8,169.4,48.6,288.7,299.4,70.4,16.3,52.8,14.1,27.9,11.7,18.3,6.5,46.2,18.2,22.3,30.9,-34.6,-23.1,2735,2209,2161,1294,48,415,101,2871,2475,2400,1269,75,105,253,53
"14",14,21703,10285,11418,868,5796,12408,2272,359,4665,2278,18731,232.6,55.7,292.8,295.6,78.5,19,90.6,21.6,45.6,10.6,17.9,4.5,63.5,15.1,22.7,23.8,-27.6,-30.5,224.1,56.4,294.3,302.7,82.7,17.2,78.9,17.2,40.8,15.1,21.8,6.9,62.6,22.1,26.7,34,-28.9,-23.3,1830,1287,1205,140,82,315,206,1569,1168,1065,78,103,78,288,52
"15",15,32533,16100,16433,4714,5603,12643,8649,924,6800,5107,22235,325.6,86.7,306.9,309.4,76.7,23.9,104.6,26.8,91.8,22,52.5,14,144.3,36,41.9,44.8,-14.7,-17.4,315.9,87.5,311.1,318.1,68.3,19.7,88.7,22,82.9,24.6,76,21.3,158.9,45.9,47,52.3,-16.9,-15.5,1283,849,778,71,71,298,105,1272,954,842,26,112,93,190,53
"16",16,9701,4289,5412,197,7480,1739,131,154,2000,405,8118,139.1,34.8,288.8,286.1,56.4,16.3,55,14.1,22.6,3.4,5.1,0.9,27.7,4.4,18.8,12,-22.4,-33.4,137.9,34.6,288.1,291,63.1,17.2,49.8,11.2,18.9,5.4,6,0.6,25,6.1,18.6,16.8,-28.3,-33.4,428,245,234,12,11,84,73,645,412,373,1,39,29,146,35
"17",17,22815,11304,11511,539,17920,3360,514,482,4099,2183,19368,257.9,63.5,291.9,290.5,93.7,26.4,103.4,26.3,47.4,8.6,13.4,2.2,60.8,10.8,21.7,16,-20.9,-31.5,254.8,64.7,292.8,297.4,103.2,25.3,84.8,19.6,45.7,15.2,21.1,4.7,66.8,19.8,25.6,28.7,-20.5,-16.6,2073,1354,1284,148,70,522,147,2075,1616,1509,119,107,113,288,55
"18",18,18371,8968,9403,214,16364,1240,297,256,3080,778,14604,363.6,87.3,292.1,293.5,131,33,145.1,33.2,67.1,16.2,20.5,4.9,87.6,21.1,21.4,22.2,-30.1,-33.8,361.8,87.8,291.4,297.5,144.1,34.6,131.4,28.9,61.6,19.2,24.6,5.2,86.3,24.3,21.8,26.3,-36,-33.8,1131,678,636,10,42,339,104,1114,778,697,27,81,79,223,40
"19",19,22262,10307,11955,1549,10973,8974,403,363,5035,2640,19733,274.3,75,285,287.4,124,32.5,101.2,28.2,38.8,10.5,10.3,3.9,49.2,14.4,16.7,15.7,-31.8,-32.4,273.2,77.2,285.6,293.4,129.2,32.2,88.8,23.5,39.6,15.9,15.7,5.7,55.3,21.5,18.9,24.7,-38.2,-27.8,1201,694,635,35,59,344,148,1364,990,883,25,107,79,273,55
"20",20,48873,23259,25614,21117,1693,13125,12484,454,7279,12221,39825,566.5,130.9,306.5,307.5,138,31.7,193.6,46.2,152.2,33.1,82.6,20,234.9,53.1,39.9,40.7,-26.9,-30.7,569.4,133.7,319,324.8,99,23.2,155.4,28.5,149.9,40.2,165.1,41.9,315.1,82.1,54.8,60.3,-21.2,-19.6,2878,2014,1922,713,92,576,258,3089,2333,2225,753,108,155,530,42
"21",21,36535,17585,18950,8907,5989,9133,11933,573,7157,5876,28953,441,86.5,305.2,304.8,98.8,24.2,151.5,30.4,121.7,20.4,69,11.5,190.7,31.9,37.7,35.9,-25.4,-32.6,439.4,87.8,312.3,318.1,87.3,18.2,128.3,22.9,109.9,25.9,113.9,20.8,223.8,46.8,46.4,51.2,-27.3,-25.5,2788,1952,1882,402,70,611,172,3082,2456,2322,488,134,158,406,46
"22",22,33847,16649,17198,6476,11594,5117,10083,577,5469,3439,24462,452.6,101.8,303,303.1,119.4,29.7,167,37.3,114.4,22.7,51.9,12.1,166.3,34.8,34.2,33.5,-30.5,-31.3,456.1,102.9,306.8,312.3,117.6,26.2,149,28.7,105.4,29.2,84.1,18.7,189.5,48,40.6,45.1,-31.4,-24.7,2197,1797,1759,889,38,275,114,2520,2095,2010,834,85,84,305,41
"23",23,10340,4706,5634,107,7825,2098,137,173,2665,515,9029,185.2,44.9,284,279.7,88.9,25.2,69,15.4,22.8,3.5,4.6,0.8,27.4,4.2,14.6,8.8,-35,-37.8,183.7,45.4,281.5,281.4,99,26.8,59.7,13.2,19.4,4.6,5.5,0.9,25,5.4,13.2,9.7,-41.7,-37.3,548,236,205,15,31,238,65,598,356,309,21,47,73,158,37
"24",24,57566,26726,30840,11388,2083,35267,8228,600,10406,12714,49373,708.9,183.2,303.4,302.6,199.9,55,271.4,69.1,167.1,38.8,70.6,20.2,237.7,59,35.3,33.3,-26.4,-31.6,705.9,187.5,310.1,315.8,174.5,44.2,243.3,54,167.2,53.5,120.9,35.9,288.1,89.3,43.7,48.6,-27.4,-22.1,3265,2469,2410,587,59,513,241,3254,2580,2450,397,130,134,476,54
"25",25,35790,17453,18337,17028,2958,10426,4911,467,5222,6425,26016,423.7,108.7,311,312.5,85,20.7,153.7,39.6,121.4,29.7,63.5,18.7,184.9,48.4,44.3,44.5,-26.5,-28.4,420.6,111.1,322.5,329.7,59.1,12.7,116.8,24.6,115.3,35.4,129.4,38.4,244.7,73.8,57.9,65.1,-23.7,-15.8,2674,1781,1722,580,59,617,246,2859,2172,2058,557,114,143,510,43
"26",26,35221,16688,18533,17089,5128,6288,6019,697,6944,2684,21057,399,85.6,321.5,323.2,42.8,8.5,123.2,26.9,139.2,27.4,93.7,22.9,232.9,50.2,57.8,58.4,-27,-29,370.4,86.5,333.6,338.9,27.8,5.9,83.9,14,111.2,28.7,147.5,37.8,258.6,66.5,71.7,76.4,-19.2,-16,3379,2734,2610,1140,124,462,147,3971,3469,3275,1473,194,53,374,39
"27",27,43112,20474,22638,9955,10476,16282,4522,1877,7520,4244,35490,431.3,95.5,296.7,297.5,134.5,30.5,164.5,36.1,95.1,20,37.2,8.9,132.3,28.9,27.5,28.8,-34.2,-34.6,414.5,96.6,300.6,303.7,130.2,30.2,138,27,90.6,25.9,55.7,13.5,146.3,39.4,33.9,37.1,-35.3,-34.1,2574,1588,1511,313,77,601,350,2915,2043,1904,283,139,113,694,61
"28",28,40058,19583,20475,11589,9354,10836,6372,1907,6389,3921,29087,400.9,98.8,304.3,303.1,110.7,29,143.4,34.4,98.8,22,48,13.4,146.7,35.4,37.6,34.5,-26.4,-29.8,383.5,100,309.9,313.4,103.2,25.2,116,27.3,86.1,26,78.3,21.4,164.4,47.5,43.8,45.4,-29.2,-26.2,3513,2804,2733,1085,71,496,197,3346,2818,2708,946,110,57,409,50
"29",29,25513,12340,13173,3834,16603,3711,443,922,3978,1926,20332,367.4,87.9,297.3,300.2,124.4,26.5,149.2,34.6,71.5,18.3,22.3,8.5,93.8,26.8,26.2,28.3,-26.4,-28.2,366,88.8,295.1,301,147.1,31.6,127.4,27,61.4,20.4,30.1,9.8,91.5,30.3,26,30.9,-34.6,-27.6,963,665,629,59,36,238,54,733,580,528,45,52,31,110,46
"30",30,40216,19939,20277,8830,2837,21615,6269,665,5632,6876,33389,518.6,114.5,300.9,302.4,138.1,32.8,198.7,41.5,123.4,24.9,58.3,15.3,181.7,40.2,33.3,33.1,-27.3,-29.6,518.5,116.1,308.1,310.7,121.3,29.7,174,32.5,126.5,31.5,96.7,22.5,223.2,54,41.6,43.8,-26.3,-24.7,2349,1731,1678,426,53,392,197,2726,2172,2087,506,85,80,408,48
"31",31,60192,28939,31253,5142,7739,16499,29713,1099,14738,3156,34248,453.6,98.2,303.6,303.4,115.1,27.2,166.7,37.3,117.6,22.1,54.2,11.6,171.8,33.7,36,33.2,-29.9,-34.1,440,98.7,306.6,311.6,117.5,23.5,148.7,29.9,103.5,28.2,70.3,17,173.8,45.2,40.7,44.4,-32.7,-27.6,4339,3370,3083,1082,287,564,320,4397,3640,3312,1110,328,116,517,73
