"","Precinct","MalePop","FemalePop","Male1524","Male65Plus","LaborForce","UnemploymentRate","HispanicUnemployed","WhiteUnemployed","HisWhiteUnemployed","HisBlackUnemployed","HisAsianUnemployed","AboveBacholarUnemployed","PovertyUnemployed","Income"
"2",1,28165.5,28873.5,2907.5,1823.5,45258.5075,2398.2925,2642.2085,2150.1665,2147.137,3626.676,2426.0845,1866.28,18037.9615,1326169.5
"3",5,23267.5,23627.5,3048.5,3267.5,27117.663,3944.032,3533.215,2636.613,3450.122,4240.555,3899.982,2648.364,10508.648,472840.5
"4",6,29181.5,31439,3058,3661.5,45071.161,3221.183,5179.89,3054.263,3135.6715,4938.195,3183.156,2559.2615,17697.626,1258941
"5",7,29686,33824,4011.5,4357,35046.477,7587.737,9733.217,4437.649,8690.58,7676.409,7284.801,6477.147,19646.8,365933.5
"6",9,37671.5,40377,7080,3314.5,51398.759,5519.381,7409.111,3179.956,5949.6815,7247.051,5067.291,2771.1775,17768.008,821943
"7",10,24797,22868.6666666667,2216.66666666667,2274,36423.1056666667,3423.30466666667,5866.846,2827.7405,3127.08616666667,6233.6125,2163.5345,2034.30183333333,18859.5865,855569.166666667
"8",13,45772,53261,6470.83333333333,4793.5,72859.0938333333,6022.1295,5370.62683333333,5813.61983333333,6053.29483333333,12729.5358333333,4130.8725,4464.99633333333,32631.6416666667,1425554.83333333
"9",14,12152.3333333333,12333.5,1410,1333,18100.2505,1694.17216666667,2909.1675,1513.7245,1846.48983333333,2480.82533333333,1017.3865,1109.51633333333,7296.04183333333,891230.5
"10",17,32942.8333333333,39079.8333333333,3056.83333333333,5273.5,53531.3553333333,3541.83,4364.874,3628.1005,3650.34416666667,5445.90333333333,3972.1335,2557.796,29801.6938333333,1307619.83333333
"11",18,30628.8333333333,30139.5,2973.66666666667,3585.5,44577.4421666667,3895.10066666667,4598.19966666667,3730.83766666667,4064.655,8944.451,2279.173,2889.762,17188.8801666667,1662738.66666667
"12",19,89984.5,114637,6772,14845.5,148037.0275,9452.3,11607.3005,9280.319,9203.844,21503.3925,5567.882,7690.5745,59598.4505,3677089
"13",20,44357,51954.5,2965,6924.5,70373.2235,5384.77,2548.599,5304.537,5341.204,13982.175,3268.395,4040.0235,23863.579,1323139
"14",22,20,5,2,1,8.325,25,25,0,0,25,0,0,25,3725
"15",23,34233,40402.5,6230.5,3224.5,42556.906,9514.6915,11800.966,2492.5025,8403.5035,11736.415,5113.819,5318.193,24863.5755,418426
"16",24,48776,57684,4913,7075,71069.524,8454.311,13981.056,5570.616,6566.851,17475.316,4935.154,4989.858,44496.586,779656
"17",25,22051,23824.5,3867.5,2005.5,23143.617,6299.0045,4966.511,4495.3605,5562.5185,8057.345,3269.123,6041.432,12865.2835,200890
"18",26,22583.5,27208,5876,1968.5,24773.384,2974.1925,2733.339,1652.318,2301.782,4236.3755,1750.851,2217.494,7900.3435,307222.5
"19",28,23654.5,26771.5,3476.5,1686.5,30361.368,4408.8655,3719.8465,3573.4435,3814.009,4929.2505,261.184,2504.5965,17412.9685,395528.5
"20",30,29295.5,31106,5352,2423.5,38762.545,7082.4355,7460.792,2951.713,4209.312,8330.7835,5163.145,3529.04,17412.1815,197392.5
"21",32,29539.5,35757.5,4914.5,2708.5,40707.272,12276.4605,12311.7175,7310.7315,11315.391,12492.6365,2616.054,5317.8435,25088.0095,342127.5
"22",33,34596,37347.5,6037.5,3274.5,45422.452,10168.125,11947.534,6403.41,9781.5925,12414.307,2934.807,5500.1385,22298.2075,248712
"23",34,56123,61953.5,9756.5,5185.5,79755.227,17326.159,20071.591,8189.314,13227.5105,19595.498,11268.98,12550.7175,38196.6645,476847
"24",40,41966,47560.5,8561,3008.5,48301.821,13562.263,11631.3405,18412.8425,14353.345,18043.4735,211.792,5824.9045,27484.949,250746
"25",41,26800.5,29040,5203.83333333333,1686.66666666667,29568.725,8905.468,8485.3545,13397.354,10446.5875,9218.8885,4688.5625,2696.522,20033.8435,171517.666666667
"26",42,35854,42625.8333333333,6962.83333333333,2263,43190.1373333333,14377.6161666667,13414.4758333333,11135.3111666667,13749.647,15494.3235,5709.0525,6945.25716666667,31308.6615,237647.833333333
"27",43,78721.8333333333,90588.3333333333,13812.8333333333,6626.66666666667,100708.494,22818.2431666667,23632.6445,22684.7506666667,23007.4293333333,25696.4316666667,24259.0433333333,8819.59016666667,58229.6655,673292.833333333
"28",44,69574,78586.5,12370.1666666667,4745.5,85392.1785,24369.2075,23822.632,14400.851,24803.2915,26554.9795,8351.298,11375.4,47241.93,454080.5
"29",45,50020,57620.5,7690,6718,65798.43,12242.5375,10980.5625,13212.133,11506.143,10025.249,4659.282,4165.8965,35634.4675,878620.5
"30",46,56177.5,62475,10597,2991,73145.226,22089.23,21742.59,24749.981,27003.5005,25752.768,2439.136,13130.4535,38616.566,337947.5
"31",47,76923.25,94394.5,12936.25,7967.25,107619.441,26198.62275,28893.2375,27671.744,24461.5765,25591.3975,13968.82625,12753.143,82403.82775,1007321.25
"32",48,40782.9166666667,46597.6666666667,8625.41666666667,2532.08333333333,48597.0555,16642.5344166667,16302.444,12950.1626666667,15149.0573333333,18860.5248333333,6023.82675,9838.47766666667,32131.9104166667,251636.416666667
"33",49,52270.4166666667,58597.8333333333,7685.91666666667,6010.75,69446.7486666667,14725.21875,16027.6171666667,16997.577,14118.8588333333,11496.6378333333,9790.74225,6669.367,44796.6774166667,844781.75
"34",50,45738.5,55530.5,6759,6468.5,63514.5505,11764.6065,12057.9485,8113.5175,7868.8615,12562.4755,8432.113,6843.1825,38437.134,850999
"35",52,68313.0833333333,75720.8333333333,12269.75,4476.08333333333,90077.2845,22743.85325,21625.842,37156.6375,23765.313,25191.7856666667,16591.2984166667,16411.152,47963.4714166667,480281.75
"36",60,47488.5,55818.8333333333,6780.5,8509.66666666667,53801.2685,13230.7101666667,13324.2605,10309.5811666667,10599.2471666667,15893.198,9360.28566666667,7445.92216666667,30033.0278333333,574028.666666667
"37",61,78372.5,85825.8333333333,10765.5,11253.1666666667,94926.3135,15595.3311666667,18943.6615,14708.0856666667,14779.5941666667,12683.615,12793.0436666667,12604.4771666667,52775.7383333333,1503999.66666667
"38",62,89022.6666666667,93056.1666666667,12466,10876,107367.0085,17825.4861666667,14060.2785,19188.4896666667,18737.9906666667,14629.353,16673.0201666667,14167.9011666667,41249.8338333333,1331704.33333333
"39",63,48317.8333333333,56847.3333333333,7265.5,5447.16666666667,66654.8846666667,10405.3056666667,10398.5246666667,7259.80466666667,8788.60816666667,8501.38883333333,5158.16683333333,6170.74116666667,36377.62,1343567.5
"40",66,93316.1666666667,92973.8333333333,15254.1666666667,7659.16666666667,107938.394,13690.7375,14393.903,13381.633,13458.459,15942.94,14293.8375,8296.812,25232.3095,938809.5
"41",67,64404.3333333333,81615.0833333333,10342.25,6993.91666666667,91561.7161666667,17093.9456666667,11773.6546666667,15097.0731666667,18782.7146666667,17095.5205833333,5120.04633333333,10140.4589166667,48573.8555,1049949.25
"42",68,62830.6666666667,65317.3333333333,7886.66666666667,7185.16666666667,78801.559,11099.95,9337.8365,11339.0185,11455.502,9549.34,10031.338,8447.105,31707.1395,1495129
