"","Precinct","Whitepop","Blackpop","Nativepop","Asianpop","Nativepacpop","Otherpop","Mixedpop","Totalpop","Malepop","Femalepop","Male1524","Male65Plus","Unplyrate","HisUnplyrate","WUnplyrate","HisWUnplyrate","HisBUnplyrate","HisAUnplyrate","BlwHSchlUnplyrate","AbBchlrUnplyrate","PvtyUnplyrate","X","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"1",1,43658,1797,75,8667,21,895,1927,57039,28165,28873,2909,1823,2396,2643,2151,2147,3626,2425,5147,1866,18038,1,66679,47231,10520,1982,4676,1909,361,3253,49,180,354,840
"2",5,14396,2790,89,26213,16,2255,1136,46895,23267,23627,3050,3269,3943,3534,2636,3451,4241,3900,4442,2649,10509,2,52568,10739,32708,2299,5910,774,138,2697,87,485,379,2262
"3",6,52048,1261,78,4741,20,784,1687,60620,29181,31440,3058,3662,3222,5181,3055,3135,4938,3183,9620,2560,17700,3,62226,50468,4983,1214,3781,1489,291,2759,40,102,247,633
"4",7,21590,6076,323,26205,30,6927,2358,63510,29686,33824,4012,4358,7588,9732,4437,8691,7676,7284,10504,6477,19646,4,56355,13479,19192,4578,17976,909,221,8041,136,1414,1391,6994
"5",9,49352,6958,363,11228,46,6866,3234,78048,37671,40378,7080,3315,5520,7410,3182,5948,7247,5067,7287,2770,17768,5,76443,39560,10831,5466,18291,1845,450,8615,115,1438,1339,6784
"6",10,33887,3708,171,5760,17,2399,1724,47666,24797,22869,2217,2275,3424,5867,2828,3125,6233,2162,8420,2035,18859,6,50180,30799,5604,3518,8821,1157,281,5039,49,653,690,2390
"7",13,75331,4682,199,13763,42,2122,2895,99033,45774,53263,6471,4794,6023,5369,5811,6053,12730,4131,23319,4468,32631,7,93640,65354,12785,4369,8565,2139,428,5432,98,495,673,1867
"8",14,16689,1724,58,4472,7,805,728,24485,12152,12334,1410,1330,1696,2909,1512,1845,2481,1017,4339,1110,7296,8,20651,11605,4933,1353,2198,448,114,1263,31,128,184,592
"9",17,57249,1929,72,10302,37,934,1499,72022,32943,39080,3056,5272,3543,4364,3626,3652,5447,3972,219,2558,29802,9,79126,60226,11038,1583,4595,1337,347,3465,59,128,222,721
"10",18,41271,4191,197,9897,31,3110,2072,60768,30629,30140,2973,3585,3897,4598,3732,4065,8945,2279,13967,2891,17189,10,54066,32682,8389,2637,8883,1164,311,4942,73,469,686,2713
